user_id,post_count,gini_coefficient,shannon_entropy,top1_ratio,top2_ratio,dominant_topic,suspicious_post_freq,suspicious_narrowness,duplicate_post_ratio,suspicious_duplicates,suspicious
1v3bh2,1,0.95,0.0,1.0,1.0,16,True,False,0,False,False
f16d81l,1,0.95,0.0,1.0,1.0,0,True,False,0,False,False
f2rn34i,1,0.95,0.0,1.0,1.0,1,True,False,0,False,False
f2dtbk3,1,0.95,0.0,1.0,1.0,13,True,False,0,False,False
f1frrgi,1,0.95,0.0,1.0,1.0,1,True,False,0,False,False
f1dapux,1,0.95,0.0,1.0,1.0,0,True,False,0,False,False
f1dae5u,1,0.95,0.0,1.0,1.0,0,True,False,0,False,False
f1c1fg9,1,0.95,0.0,1.0,1.0,0,True,False,0,False,False
f1bapei,1,0.95,0.0,1.0,1.0,0,True,False,0,False,False
f1a4v79,1,0.95,0.0,1.0,1.0,0,True,False,0,False,False
f1a4jz8,1,0.95,0.0,1.0,1.0,0,True,False,0,False,False
f1a3zvw,1,0.95,0.0,1.0,1.0,0,True,False,0,False,False
f0xlalj,1,0.95,0.0,1.0,1.0,5,True,False,0,False,False
f55inct,1,0.95,0.0,1.0,1.0,17,True,False,0,False,False
f0wagz0,1,0.95,0.0,1.0,1.0,1,True,False,0,False,False
f0gksij,1,0.95,0.0,1.0,1.0,2,True,False,0,False,False
f0ggfo3,1,0.95,0.0,1.0,1.0,17,True,False,0,False,False
ey2ng43,1,0.95,0.0,1.0,1.0,12,True,False,0,False,False
1v3blj,1,0.95,0.0,1.0,1.0,8,True,False,0,False,False
ewij2l0,1,0.95,0.0,1.0,1.0,0,True,False,0,False,False
ew2mmw0,1,0.95,0.0,1.0,1.0,0,True,False,0,False,False
ew2k4hr,1,0.95,0.0,1.0,1.0,0,True,False,0,False,False
ew0ve2k,1,0.95,0.0,1.0,1.0,0,True,False,0,False,False
evf00km,1,0.95,0.0,1.0,1.0,0,True,False,0,False,False
f3hxc6r,1,0.95,0.0,1.0,1.0,2,True,False,0,False,False
f5s1r5v,1,0.95,0.0,1.0,1.0,13,True,False,0,False,False
etstttl,1,0.95,0.0,1.0,1.0,1,True,False,0,False,False
fad7smo,1,0.95,0.0,1.0,1.0,8,True,False,0,False,False
fbxgawu,1,0.95,0.0,1.0,1.0,1,True,False,0,False,False
fbweqvv,1,0.95,0.0,1.0,1.0,5,True,False,0,False,False
fatvb1a,1,0.95,0.0,1.0,1.0,0,True,False,0,False,False
faoeeiu,1,0.95,0.0,1.0,1.0,5,True,False,0,False,False
faodw7k,1,0.95,0.0,1.0,1.0,3,True,False,0,False,False
faocxoz,1,0.95,0.0,1.0,1.0,3,True,False,0,False,False
