Topic,Count,Name,Representation,Representative_Docs
-1,520,-1_vaccine_study_dont_measles,"['vaccine', 'study', 'dont', 'measles', 'people', 'know', 'doesnt', 'vaccination', 'cdc', 'data']","['antivax aunt posted article much cogently argued posts see since knowledgeable enough specifically refute anything wondering one shes little bit conspiracy nut super homeopathy also phd written books usual idiocy isnt display least rhetorically everything claims true vaccines devil know thats case knowledgeable enough refute points wondering heres contrary view nonvaccinators uneducated fools duped conspiracy theories taken time study scientific data show vaccinations worth risk even supreme court deemed vaccination unavoidably unsafe aware law cdc sponsors vaccine injury database called vaers vaccine adverse event reporting system according vaers data past years alone 26793 people hospitalized vaccine injuries 2081 died know 162 young people mostly healthy teenage girls died receiving hpv vaccine know exchange granting legal immunity vaccine manufacturers government sponsors vaccine court awards compensation families vaccineinjured children court paid billions dollars families including children whose autism deemed caused vaccination know 2005 fda report tripedia dtp vaccine listed many neurological problems potential side effects including autism know one key studies supposedly exonerated vaccines causing autism authored poul thorsen fugitive wanted money laundering fraud contrast constantly repeated media dozens studies implicating vaccines playing role causing autism well many neurological chronic diseases including type diabetes also rise children know 2011 study germany compared vaccinated versus unvaccinated populations found unvaccinated children far healthy much lower rates asthma allergies ear infections epilepsy gluten sensitivities gerd anxiety depression autism dyslexia know growing number physicians immunologists admitting vaccination may worth risk point effort avoid childhood diseases years ago considered beneficial triggered true immunity spurts child development may causing increase chronic disease form disease immunity strong longlasting know recent outbreaks childhood diseases among vaccinated children due contamination unvaccinated children due loss socalled herd immunity rather usually occurring completely vaccinated populations artificial immunity waning please understand parents wish forego vaccination children asking others follow lead simply want permitted follow beliefs forced administer drugs children indeed many families already vaccineinjured child year extremely powerful vaccine industry sponsors media campaigns like one currently experiencing whose ultimately goal force everyone become customers society must preserve human right forceably injected medicated', 'lol dumbass cant even read tells scientific method look negative thing didnt study medicine ever open study said proof fit bullshit views lets take examples copy pasta pro disease friends metaanalysis puts flu ili one pot irrelevant ili flu flu deadly doesnt mean authors conclusions influenza vaccines efficacious preventing cases influenza children older two years age little evidence available children younger two years age studies doesnt make less efficient difference vaccine efficacy effectiveness partly due differing datasets settings viral circulation patterns wouldve thought moron strains matched every single year course virus increased mutagenic shifts matched vaccine every year nobody claimed anything different doesnt make vaccine harmful fuck meth former epidemiologist ashamed read jefferson review influenza vaccine uses fucking many fallacies doesnt take account even morbidity mortality flu claims even pregnant women vaccinated less medical acts better thats outrageous bizarre fuck live 2019 1900 even fucking know flu pandemics wiped millions people 1919 look spanish flu sure people would rather get low antibody count vaccine fucking none less deaths better happened read much imbecile feel stupid guy said flu shot less less efficient get every year reading comprehension world thats good cause dont seem human brain said researchers found adults similar levels protection received flu vaccine current season previous season seasons also found vaccine effectiveness 2741 percent higher adults vaccinated first time past five years compared got vaccine almost every year said reasons increase effectiveness yet clear research needed understand repeated flu vaccination affects immune system know means mister scientific method means correlation found wheres fucking hard proof wheres evidence really hope dont reproduce know logical fallacies dont confirm bullshit yes science evolves vaccines proof science also works better prevent unlike claims drs dont want treat bury patients aka taking away individuals right choose injected body despite numerous side effects side effects inactivated vaccines mild rarely occurring guess youd like see people suffering disease instead admitting lack chemistry physiology knowledge null like smooth brain fucking imbecile next time wan copy paste shit bother people infectious diseases ward visit intubated patients likely die flu uatheistbastard get troll outta please', 'recipients measles viruscontaining vaccine experience rash fever may indistinguishable measles rash fever total measles pathology literally entire point paper cite distinguish rapid way wild type pathogenic measles reactions mmr literally justification assay funding paper mmr cause wildtype measles pathology aspects make distinction difficult try might equivalent source makes clear clinically indistinguishable means observing patient physical symptoms rash fever look wild strain vaccine strain measles yes fever rash similar wild type measles reaction measles component mmr vaccine nowhere authors suggest wildtype measles clinically identical consequence measles vaccine component true differ genetic level share common physical symptoms rash fever also dont share pathologies hence distinction important public heath standpoint keep ignoring taught pathogenic strain cause complications like sspe according cdc severe complications rare pneumonia said death per 1000 wildtype measles well immune repertoire depletion deafness pneumonia mention encephahlitis mention doesnt happen vaccine component studies show 4050 kids got upper respiratory infections gastrointestinal disorders mmr vaccine link want consider discussion thats harsh tradeoff virus causes rash fever common person would kill thousands annually unnecessarily along sequelae weve mentioned previously sure lets equate increased risk cold measles pathology gives lifelong immunity get lifelong immunity avoid disease vaccines immunity isnt goalavoiding disease ramifications unless youre immunocompromised reason scared wild measles weve literally mentioned excellent reasons unnecessary deaths thousands bad sequelae disappeared due vaccination argument vaccinees infected measles simply exact physical reaction people catch measles time location measles outbreak thats argumentthats study says didnt exact physical reaction fever rash shedding measles virus potentially shedding attenuated measles vaccine virus risk pneumonia encephalitis death uncommon reaction vaccine strain maybe entertain possibility primary secondary vaccine failure viral shedding recent vaccinees faith vaccine strong friend vaccination failure exists solution titer revaccinate rely herd immunity shedding recent vaccinees theyd shedding attenuated vaccine virus pathogenic theres faith play 1999 pilot got wrong one doesnt know read either unable unwilling yes actually looked less data 1999 unpublished pilot looked 400000 infants vsd phase 2004 published study looked 124170 infants vsd heres inability read lets fact check bit assessed risk neurologic renal impairment associated past exposure thimerosalcontaining vaccine using automated data vaccine safety datalink vsd vsd large linked database four health maintenance organizations washington oregon california containing immunization medical visit demographic data 400000 infants born 400000 infants vsd doesnt mean appropriate selected analysis youre already base gets better 2phased retrospective cohort study conducted using computerized health maintenance organization hmo databases phase screened associations neurodevelopmental disorders thimerosal exposure among 124 170 infants born 1992 1999 hmos phase common disorders associated exposure phase reevaluated among 717 children born 1991 1997 another hmo relative risks neurodevelopmental disorders calculated per increase 125 estimated cumulative mercury exposure tcvs first third seventh months life didnt use smaller sample size exact inclusion criteria abstract presented isnt known since abstract saved phase doesnt use smaller sample size remove first comparison different hmo investigating rates found first two hmos association finally study phases looks 1st 3rd 7th month life whereas initial abstract first month also evident look sheer number disorders found full papers phase clearly outnumbers total disorders abstract advice work reading comprehension youve got words ability interpret meaning tripping wrong phase common disorders associated exposure phase reevaluated among 16717 children associations significance phase analyzed different site common apparent concern obvious reduced sample size make links autism sleep disorders learning disabilities speech delays 1999 pilot statistically less significant sample size abstract isnt known paper combined sample size 140887 significance phase isnt removed addition smaller sample size makes sense understand makes sense furthermore theres massive ethical issue 1999 study youre cdc find data points 762 increase autism hep shot duty disclose public cdc health protection agency nation investigated found apparent significance different hmos recommended study larger samples consistent diagnostic criteria way results buried instead hid study years later reduce sample sizes publish study proving everything safe along youre living fantasy land published study claim read thanks turning onto 2004 study problem keep hitting books read also keep hitting']"
0,194,0_wrong_faith_youre_said,"['wrong', 'faith', 'youre', 'said', 'think', 'point', 'read', 'bad', 'thats', 'saying']","['throwing fit asking speculate somehow engaging bad faith really trying tell ops offhanded wordchoice something want come correct wrong ambiguous ive seen people saying unless vaccinated people autism vaccines cant cause thats thought implying corrected maybe misinterpreted point without weird speculation motives chip shoulder vaccines dont know dont even know chip shoulder vaccines means youre going ass downvote youre upset downvoted tried derail conversation accusations motives', 'maybe could clarify said whatever reason wanted said title wrong think took saying wanted wrong vaccines cause asd trying shut ridiculous diversion false speculation motives saying title wrong yeah exactly thought like dont get come thread really trying tell ops offhanded wordchoice something want come correct wrong ambiguous theres literally greater principle clarify talk aboutbecause already werent interested reason think wrong vaccines caused something could affect million kids anywhere reason wrong would still discernable rate took long say finally even contradictory ive saying whole time chip shoulder vaccines dont know youre going ass downvote youre upset youre one first tell people calm reasonable yet youre throwing fit', 'clear exactly think wrong dunno suggested might wrong point youre trying obfuscate made clear get youve forgotten youre busy playing games started talking think wrong bad faith rather pointing thought wrong said wrong beginning first made wrong still havent realized thats consider bad faith thats bad faith means least try keep honestly refuse admit wrong continue argue anyway know wrongthats bad faith dont realize youre wrong thats different story since dont bother justify thats case different level disingenuous argument multilayered point apparent desire anything argue sake argument open shut way play']"
1,89,1_antivaxxers_antivax_anti_antivaxxer,"['antivaxxers', 'antivax', 'anti', 'antivaxxer', 'dont', 'people', 'antivaxx', 'comments', 'want', 'say']","['give platform antivaxxers propagate mind report social media groups identify antivaxxers dangerous missleading whether youtube video facebook page etc thinking groups simply become influential confirmation bias thus promote people towards dangerous actions visit groups degree critical thinking criticism drops every statement matter ridiculous reinforces misleading theme vaccines bad claims vaccines cause autism vaccines cause cancer diabetes syndrome depression genetic mutations forth yes read ridiculous claims made antivaxxers evolving implied insanity becoming vaccines cause disease thought antivaxxers deserve social media platform nurture growing ignorance encourage everyone report antivaxxers social media groups misleading potentials dangerous actions affect', 'yeah money run world otherwise motivation school work etc abstract childish view world need grow crap spout sounds like something put rim14andthisisdeep know surprising think know better rest since thats anti vaccine culture comes stems little part mind makes feel entitled makes narcissistic subconsciously realize nothing special find bullshit latch onto make feel like access something others dont heres sad truth youre special definition guess youre saying isnt anti vaxx propaganda since youre following script shit antivaxxers list steps spout nonsense vaccines causing autism ask rhetorical question dont actually want answer wait people respond respond responses closed mind ideals already set stone ignore evidence wrong would damage ego make feel like youre special rinse repeat arent brainwashed smart lunatic says hes pro vaxx actually bullcrap spouting broken record', 'rant please sure sub allows need vent need sanity right posted parenting group 185 week old quieter past couple days nothing major wondering normal part development anyway majority comments delightful reassuring get one recent vaccines vaxxed recently damn thought responded yes couple almost weeks ago cue sad reacts angry reacts comments behaviour definitely vaccine related youre poisoning baby hes definitely acting weird vaccines etc plus several unsolicited dms stating poisoning damaging baby vaccinating trying sell spray kid detox skin metals honestly shocked ignored people tried power moves pediatric nurse sees time vaccinated babies started defending asking people remain respectful stick topic hand tried get science many laugh reacts response know often futile honestly tens people thread saying came say thing etc turn commenting edit say thanks mostly everyone space antivax opinion closing comments get fricken message fricken admins saying unkind calling people overtly vaccines antivaxxers either edit delete kidding someone literally said going kill baby needs detox fricken spray bottle unkind mention thread full misinformation links dodgy websites like whats leaflet whatever called honestly angry thousands things could affected babys behaviour people jumped vaccines weeks ago message admins really last straw breaking rules unkind simply defending choice vaccinate asking people remain respectful stick topic raging hate people like exist hate much distrust world cant ask simple question without turning anti vax propaganda personal attack worried future generations kids brought like thats thanks listening screw avs']"
2,76,2_autism_cause_mmr_autistic,"['autism', 'cause', 'mmr', 'autistic', 'people', 'cancer', 'children', 'caused', 'rate', 'vaccine']","['vaccines linked autism stemmed article published andrew wakefield colleagues back 1998 study wakefield looked children gastrointestinal issues also neurological deficits eight children received mmr vaccine concluded article saying couldnt prove connection mmr vaccine gastrointestinal issues evidence inadequate nowhere article said link autism vaccine wakefield claimed press conferences article published lancet wellknown medicinal journal known prestigious highly regarded doctor hes doctor identify cause crohns disease public heard vaccineautism link public ate fear arose vaccination rates dropped article claims farfetch look detail first size studies small children making connection seem statistically significant variables studies according children exhibited forms autism symptoms akin autism study didnt ethical practice committee approve study necessary ensure research doesnt harm participants whats worse discovered much denial wakefield funded 800000 personal injury lawyer named richard barr needed evidence autism caused vaccine cases parents autistic children suing pharmaceutical companies compensation five children even clients barr wakefields collaborators didnt even know money furious enough retract names study wakefield another motive advocated vaccines need safe tells public current mmr vaccine isnt safe prior study applying vaccine patent wanted make mmr vaccine wanted get rid completion wakefield medical license evoked 2005 end myth sadly moved usa still highly regarded people mmr autism phase dying new topic takes spotlight mercury vaccines', 'talking common arguments made realize people sides subject often educated enough make adequate arguments sides often people making poor arguments argument genetic component autism proof vaccines cause autism argument also often argued unvaccinated autistic people prove autism caused vaccines often argue fact people unvaccinated mmr get autism rate people vaccinated mmr good evidence mmr vaccine cause autism argument appears misrepresentation argument less intelligent people vaccines introduced tests done see safe dont test every single disease book general tests done autism specifically distant past andrew wakefield wrote research article claiming mmr might associated autism article analyzed wakefield discredited eventually lost license point reason analysis scientifically subject reason think mmr vaccine caused autism safety research vaccines analysis every disease book however many vaccine opponents spreading false claims mmr vaccine cause autism large expensive research project performed show mmr vaccine linked autism large expensive research projects prove every single vaccine cause autism also thousand diseases could study money enough similarly tests could done see correlations every drug food take every disease enough money', 'argument genetic component autism proof vaccines cause autism saying vaccines cause autism saying many people say autism 100 genetic true often argue fact people unvaccinated mmr get autism rate people vaccinated mmr good evidence mmr vaccine cause autism correct correct saying one autistic unvaccinated person proves vaccines dont cause autism talking common arguments made realize people sides subject often educated enough make adequate arguments sides often people making poor arguments exactly made trying correct poor arguments']"
3,74,3_people_big_pharma_industry,"['people', 'big', 'pharma', 'industry', 'government', 'vaccine', 'good', 'products', 'right', 'want']","['use mercury vaccines want humble open minded skeptical asking place dont know start first boys one stopped following schedule vaccination months never vaccinated please excuse english jump outraged let clarify perhaps wrong people wont realized many antivaxxers normal parents unsure right thing dont trust institution good reasons ridiculized memes example type behavior reminds discussions circumcised people supposedly advantageous practice fluoride water recently scientifically proven reduce children supposed benefits masturbation porn consumption personally life changing experience nofap google masturbation first page shows articles huffpos bustler etcabout wonders said habit add personal experience people know irl quest knowledge found vaccination schedule got vaccines mumps chicken pox measles included ironically got diseases anyway mumps chicken pox measles 910 even worst autistic irl something proud live perpetual embarrassment adds sceptisim honestly wanted learn sides provaccination people seems unconcerned individuals enjoy making jokes memes whole subject use like day father doubts people working improve world lets forget sometimes science takes catch maybe dont know better bad news pharmaceutical companies motives promote vaccination check cost unit government pay', 'people pro vaccine want progress safe way prevent potentially preventable diseases pro vaxxers think human body completely figured pro vaxxers want evience want know effects vaccines body much anybody else censorship ideas wrong happen people want people vaccinated trying help people people pushing pro vax ideas fascist want promote health people vaccines likely thr people call ostracize people pro vax much side dont want take flu shot thats fine calling pro vaxxers ignorant could said everybody getting vaccine experimented kept lock key monitored 247 unrelated side thay careful injecting vaccines also worry foods feeding general need aware risks benifits many things like vaccines food oils clothes many things another side note probably use evidence debunk herd immunity', 'teach people logic critical thinking teach people honest respect others encourage free thinking scientific progress lies censorship never answer herd immunity exist due vaccination pro vaccine choice individuals ones calling study scientific progress usually ones call vaccination hubris believe science settled know everything know human body immune system ones vaccine choice arrogance demand everyone follow believe regardless individuals hurt along way belief needs many outweigh needs nation state allowed tell individual inject body fascist ideals fascism antiintellectual antidemocratic individual interests subordinated good nation forcibly suppresses opposition criticism regiments industry commerce etc emphasizes aggressive nationalism often racism aka taking away individuals right choose injected body despite numerous side effects subjecting mass experimentation good nation really backing ever growing pharmaceutical industry suppressing information contradicts interests even dont agree dont force ideals others nazis experimented people led nuremberg trials code detailing human right informed consent vaccine mandates violate individuals rights informed consent experimenting people vaccines vaccine insert vaccines tested mutagenic carcinogenic effects pregnant women yet give vaccines pregnant women anyway also activating maternal immune system risks fetus yet persist unjustified claims provides benefit']"
4,70,4_vaccinated_children_unvaccinated_parents,"['vaccinated', 'children', 'unvaccinated', 'parents', 'babies', 'child', 'girls', 'kids', 'vaccinate', 'whooping']","['mortality rate vaccinated unvaccinated children right', 'israel working like country unless youre real danger parents choose medical treatments theyre child get wish could get vaccinated without parents permission high school want teen paramedic scared get hepatitis blood disease sister teen paramedic vaccinated hepatitis shes right hope ill', 'extremely vague question like mortality rate overall vaccinated unvaccinated specific vaccines like mmr vaccinated babies non babies current vaccines general non exactly consider baby half year old going vaccines compared month old']"
5,37,5_dont_discussing_work_really,"['dont', 'discussing', 'work', 'really', 'says', 'debate', 'vaccine', 'address', 'youre', 'vaccinations']","['know amd probably shouldnt say karen old kid btw dont use vaccines like keep body natural train self survive diseases dont care die dont really fear death see people hate sigh cant even voice opinion anymore hopefully guys see point someday major disease could mutate get past vaccines take years build wed keep making vaccines stronger ive realized survival viruses germs dont want harm naturally naturally disease use body host see slaughter cows eat vegan either love meat thats survive know viruses singlw celled complex lifeform showing opinion dont really care anyone asked wan hesr peoples opinions amd people get know people dont use vaccines peace guys', 'podcast discussing vaccinations need help hey podcast discussing vaccinations upcoming episode helming pro vaccination discussion dont want come across brash taking stance youre moron dont get kids vaccinated rather would like plenty facts information back please feel free link whatever youd like', 'podcast discussing vaccinations need help hey podcast discussing vaccinations upcoming episode helming pro vaccination discussion dont want come across brash taking stance youre moron dont get kids vaccinated rather would like plenty facts information back please feel free link whatever youd like']"
6,36,6_chickenpox_measles_shingles_pox,"['chickenpox', 'measles', 'shingles', 'pox', 'chicken', 'virus', 'got', 'contagious', 'mumps', 'antibodies']","['increased risk around unvaccinated kids really small year old many vaccines yet boosters mmr chickenpox dtap however risk low even one dose mmr probably result immunity measles rubella likely mumps one dose chickenpox vaccine reduce risk severity chickenpox get dtap diphtheria incredibly rare even antivax communities measles outbreak isnt diphtheria tetanus simply cant spread person person even vaccinated kids spread pertussis avoiding unvaccinated people doesnt change risk much', 'mom excited chicken pox probably chickenpox serious adults children virus build long term immunity hoping getting chickenpox prevent serious case chickenpox kids older dangerous serious complications common 300500 chickenpox cases requires hospitalization 60000 results death kids fully vaccinated years old protected guarantee vaccine 100 effective second dose isnt given age still best keep kids away sick people longer sick according cdc person chickenpox longer contagious hours last new spot appears shouldnt week start symptoms arent risk getting shingles greatly increased chicken pox yes pretty much impossible get shingles havent chickenpox chickenpox vaccine pregnant kid protected probably question doctor guarantee live vaccines chickenpox arent recommended pregnant women avoid exposure infected people especially pregnant harm fetus possible anti vaxxers get excited body builds natural immunity disease isnt vaccines body except never sick yes well still get little sick antivaxers concerned combinations viruses one vaccine multiple vaccines chemical additives although chemical additives concern used vaccines things cant build immunity catching', 'someone showing symptoms mean arent carrying disease according cdc someone recovers chickenpox arent contagious may contagious know think maybe chicken pox kid makes likely get dont think chicken pox get shingles infection virus chickenpox happen exposed virus point past immune usually reactivation virus decades chickenpox contagious decades shingles know occur directly following exposure virus result vaccine virus well']"
7,30,7_mercury_sodium_thimerosal_ethylmercury,"['mercury', 'sodium', 'thimerosal', 'ethylmercury', 'compound', 'elemental', 'salt', 'organic', 'chloride', 'ethyl']","['ethylmercury monumental dumbass also mercury compound doesnt mean unsafe thats like saying table salt dangerous contains sodium chloride obviously dont worry elements make goes foods making fuss thimerasol yeah youre idiot also analogy shit could get vaccines still receive less mercury would eating fish fish contains methylmercury actually harmful even humored ridiculous idea mercury thimerasol actually worrisome isnt thimerasol still isnt mercury worry literally everything else minuscule amounts dose makes poison liver easily handle less mcg ethylmercury', 'yes course lets remember however table salt composed sodium chlorine nacl mixing sodium water simply put bad effects combining chlorine makes compound safe think situation think mercury mercury thimerosal ethyl mercury gets flushed body brother methyl mercury short thimerosal anti fungal agent preserves vials vaccine also mercury make bad', 'couple things didnt link fluoride reduced children found doses higher drinking water slightly eating toothpaste clear act teratogen damage child pregnancy since asks mercury ill explain little elemental mercury isnt organic mercury chemistry background high school even understandable may fully understand methanol hoch3 extremely poisonous humans low doses ethanol hoch32 saturated carbon drinking alcohol safe poisonous moderate doses thats couple atoms better example might even oxygen breathing oxygen diatomic oxygen much different elemental ionic oxygen one lets live rips apart dna thats couple electrons best example always table salt sodium elementaluncharged state explodes reaction water chlorine elemental uncharged form incredibly poisonous gas guess combined specifictys sake one electron removed become flavorful harmless salt thats one electron separates explosive sodium dissolvable sodium ion spirit mercury used vaccines wasnt elemental form compound looks pretty complex right way molecules structured doesnt allow atoms compound mercury state cant know elemental mercury even worse methylmercury cant break free dangerous atom resonance forms ring well heavy metal salt component make completely unique compound sum parts much complex thats confusing sorry thats way hope helps']"
8,30,8_immune_unvaccinated_immunity_antibodies,"['immune', 'unvaccinated', 'immunity', 'antibodies', 'risk', 'animals', 'vaccinated', 'live', 'virus', 'infection']","['dense didnt even bother read everything wrote read everything wrote mind telling part think misinterpreted point unvaccinated animals risk omg youre something unvaccinated people risk pertussis yes part study quoted says even vaccinated spread original started discussion much risk mostly vaccinated person around unvaccinated person said since even vaccinated people spread pertussis kids question mostly vaccinated increase risk around unvaccinated kids small', 'live viruses shed could unvaccinated immune compromised child get sick coming contact recently vaccinated person comes live virus vaccines short answer yes viral infection live virus shed body fluids infected varying amounts time transmitted others vaccine strain live virus also shed varying amounts time body fluids vaccinated people transmitted others although public health officials maintain live attenuated virus vaccines rarely cause complications vaccinated person vaccine strain viral shedding rarely causes disease close contacts recently vaccinated important aware vaccine strain live virus infection sometimes cause serious complications vaccinated persons vaccine strain live viruses shed transmitted others serious even fatal consequences vaccinated man sheds polio yrs', 'even vaccinated kids spread pertussis avoiding unvaccinated people doesnt change risk much thats incomplete misleading one spreads anything immunity daughter immunity one disease wont spread anything get vaccinated kids increased risk around unvaccinated kids really small also misleading vaccines offer protection 100 cases vaccine perfect someone unvaccinated best let play together know vaccine status know theyre unvaccinated cant protect kids times avoid staying around unvaccinated persons']"
