user_id,post_count,gini_coefficient,shannon_entropy,top1_ratio,top2_ratio,dominant_topic,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14
1v3bh2,1,0.9333333333333333,0.0,1.0,1.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9619088172912598,0.0
ey3490b,1,0.9333333333333333,0.0,1.0,1.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9841428399085999,0.0
gs50ye7,1,0.9333333333333333,0.0,1.0,1.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9392836689949036,0.0,0.0,0.0,0.0,0.0,0.0
ewc0vtp,1,0.9333333333333333,0.0,1.0,1.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.977110743522644,0.0
ewif3rr,1,0.9333333333333333,0.0,1.0,1.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8872089385986328,0.0,0.0,0.0
ewij2l0,1,0.9333333333333333,0.0,1.0,1.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.95830237865448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ewim45m,1,0.9333333333333333,0.0,1.0,1.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.9057253003120422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ewip962,1,0.9333333333333333,0.0,1.0,1.0,4,0.0,0.0,0.0,0.0,0.9059296250343323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ewsgky,1,0.9333333333333333,0.0,1.0,1.0,4,0.0,0.0,0.0,0.0,0.9059346318244934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ey1av9p,1,0.9333333333333333,0.0,1.0,1.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9555579423904419,0.0,0.0,0.0
ey1b9bt,1,0.9333333333333333,0.0,1.0,1.0,2,0.0,0.0,0.9709163904190063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ey2d98d,1,0.9333333333333333,0.0,1.0,1.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9908732771873474,0.0
ey2ng43,1,0.9333333333333333,0.0,1.0,1.0,4,0.0,0.0,0.0,0.0,0.9684510827064514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gs4m5rj,1,0.9333333333333333,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.9624575972557068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ew2kimj,1,0.9333333333333333,0.0,1.0,1.0,1,0.0,0.9556769132614136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eyk5llr,1,0.9333333333333333,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.9725756049156189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eyn2gtz,1,0.9333333333333333,0.0,1.0,1.0,1,0.0,0.9514732360839844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gs48w9e,1,0.9333333333333333,0.0,1.0,1.0,1,0.0,0.8875094056129456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f05tlq,1,0.9333333333333333,0.0,1.0,1.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9831331968307495,0.0,0.0,0.0,0.0
f0g1kg3,1,0.9333333333333333,0.0,1.0,1.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9842464923858643
f0g5k0y,1,0.9333333333333333,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.9594663977622986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f0ghu93,1,0.9333333333333333,0.0,1.0,1.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9971880912780762,0.0
f0gksij,1,0.9333333333333333,0.0,1.0,1.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9320927858352661
f0mallb,1,0.9333333333333333,0.0,1.0,1.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9220622777938843,0.0,0.0,0.0,0.0,0.0
gs3v2ut,1,0.9333333333333333,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.9936044812202454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f0prfwq,1,0.9333333333333333,0.0,1.0,1.0,0,0.9555274248123169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ew2mmw0,1,0.9333333333333333,0.0,1.0,1.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.951400876045227
ew2k4hr,1,0.9333333333333333,0.0,1.0,1.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9319142699241638,0.0,0.0
f0s8tmz,1,0.9333333333333333,0.0,1.0,1.0,1,0.0,0.9218524098396301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
etqgdpi,1,0.9333333333333333,0.0,1.0,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9318139553070068,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ete1rne,1,0.9333333333333333,0.0,1.0,1.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9064893126487732,0.0,0.0,0.0,0.0,0.0,0.0
ete3a5d,1,0.9333333333333333,0.0,1.0,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9936854839324951,0.0,0.0,0.0,0.0,0.0,0.0,0.0
etf0lur,1,0.9333333333333333,0.0,1.0,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9929982423782349,0.0,0.0,0.0,0.0,0.0,0.0,0.0
etibrch,1,0.9333333333333333,0.0,1.0,1.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9723238945007324,0.0,0.0,0.0
etifisf,1,0.9333333333333333,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.9885797500610352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
