topic_id,word,weight,rank
0,trump,0.229799,1
0,hillary,0.216274,2
0,amp,0.214591,3
0,clinton,0.214401,4
0,rt,0.202257,5
0,dont,0.196452,6
0,politics,0.194160,7
0,obama,0.193826,8
0,get,0.192164,9
0,people,0.191668,10
1,prayerscalifornia,0.885643,1
1,gunsny,0.792832,2
1,honorforthebrave,0.596280,3
1,gun,0.546827,4
1,gardencityshooting,0.545008,5
1,blacklivesmatter,0.522095,6
1,guns,0.479005,7
1,rip,0.472577,8
1,police,0.465862,9
1,black,0.439436,10
2,der,0.727145,1
2,die,0.689234,2
2,und,0.658258,3
2,das,0.634216,4
2,ist,0.578887,5
2,ein,0.549262,6
2,für,0.537490,7
2,mit,0.535978,8
2,von,0.532672,9
2,auf,0.526947,10
3,islamkills,1.465151,1
3,brussels,1.135826,2
3,stopislam,1.055360,3
3,prayforbrussels,0.997510,4
3,refugees,0.907277,5
3,terrorists,0.563923,6
3,syrian,0.554393,7
3,texasjihad,0.534248,8
3,isis,0.514830,9
3,islamistheproblem,0.475611,10
4,клинтон,1.364024,1
4,трампа,1.104643,2
4,на,1.103995,3
4,хиллари,1.083045,4
4,трамп,1.060595,5
4,что,0.968899,6
4,за,0.965685,7
4,сша,0.882454,8
4,не,0.744511,9
4,дональда,0.688181,10
5,inmates,1.121598,1
5,clemency,1.092926,2
5,commutes,1.044420,3
5,sentences,1.021155,4
5,jail,0.869467,5
5,combined,0.837179,6
5,grants,0.763651,7
5,incarcerated,0.748834,8
5,federal,0.703847,9
5,prison,0.699021,10
6,oscarhasnocolor,1.992364,1
6,oscars,1.533825,2
6,oscarssowhite,1.412507,3
6,oscar,0.994093,4
6,oscarsoblack,0.838996,5
6,actors,0.665194,6
6,color,0.663483,7
6,responsibily,0.604361,8
6,awards,0.570737,9
6,smithwith,0.560269,10
7,junkieus,2.280627,1
7,vaccinateus,1.659219,2
7,marijuana,1.193490,3
7,vaccination,1.062474,4
7,politicalfoods,1.040057,5
7,legalization,1.005158,6
7,topstories,0.880531,7
7,donaldtrumps,0.851573,8
7,pot,0.848965,9
7,marihuana,0.761670,10
8,imwithhumusmarshmallowspeanutbuttersteakribeye,4.444647,1
8,imwithchickenavocadosubwaydressedwithsweetonionanddoublehoneymustard,4.444647,2
8,elect,3.132644,3
8,iwassohighoneday,1.386742,4
8,woke,0.955105,5
8,kenya,0.885325,6
8,rt,0.338488,7
8,,0.000010,8
8,,0.000010,9
8,,0.000010,10
9,glorification,2.507818,1
9,stoppedit,2.507818,2
9,monsters,2.198881,3
9,creating,1.967854,4
9,reasoniamnotasuperhero,1.626759,5
9,violence,1.517662,6
9,game,1.439711,7
9,must,1.222480,8
9,video,1.080006,9
9,villainin,0.916227,10
10,olympictv,3.361138,1
10,simone,1.342089,2
10,medal,1.319175,3
10,olympic,1.231215,4
10,peds,1.189991,5
10,medalists,1.189991,6
10,dalilah,1.189991,7
10,sporty,1.189991,8
10,fiel,1.189991,9
10,olympics,1.185962,10
