user_id,post_count,gini_coefficient,shannon_entropy,top1_ratio,top2_ratio,dominant_topic,suspicious_post_freq,suspicious_narrowness,duplicate_post_ratio,suspicious_duplicates,suspicious
worldnewspoli,21,0.836372631136328,1.2767709948507497,0.74870974,0.8954335,4,True,True,0.0,False,True
jrrbrtt,1,0.8100827195933865,1.5215024790111773,0.6284156,0.86230516,10,True,True,0.0,False,True
danny_turner_1,1,0.7882685158013677,1.6359271801617772,0.51003027,0.87842506,8,True,True,0.0,False,True
finley1589,66,0.7852164618318779,1.7066049983777063,0.55122894,0.8532693,4,True,True,2.470270296975895e-05,False,True
heyitsglor,1,0.7828499388415366,1.7286239371676717,0.5150709,0.7824391,8,True,True,0.0,False,True
orrclay,2,0.7803188380397236,1.7318369170510906,0.57771635,0.83431387,8,True,True,0.0,False,True
kelvsok,1,0.7786437983158976,1.7052750565385841,0.47448674,0.81226975,4,True,True,0.0,False,True
kenzdonovan,58,0.7749996986356205,1.7578742304784656,0.5115702,0.8377346,4,True,True,0.0005069186474776837,False,True
kateritterrrr,68,0.77305488269,1.7870531509891514,0.5316669,0.83292013,4,True,True,1.4125025307337009e-05,False,True
warfareww,27,0.7711091353558004,1.7640102274959488,0.63541436,0.81783307,8,True,True,0.0,False,True
yattvrussia,1,0.7699435450873958,1.784709543405844,0.53184015,0.8449324,4,True,True,0.0,False,True
patriotblake,191,0.7693615563912317,1.7863927376098383,0.4968209,0.822421,8,True,True,4.908164043743802e-06,False,True
lgbtuni,2,0.7688939230283722,1.789994570266858,0.5055575,0.8379537,8,True,True,0.0,False,True
kristyanann,1,0.7688028751096377,1.7805212499093819,0.60807925,0.78691,10,True,True,0.0,False,True
missourinewsus,28,0.7687069275804485,1.8416370047199897,0.5512437,0.8034035,4,True,True,0.0003276003276003276,False,True
cynthiamhunter,68,0.7639979606028983,1.8314499563614328,0.5222452,0.82626307,4,True,True,0.0002867383512544803,False,True
4ever1937,4,0.7634785420959815,1.839319710482264,0.5197492,0.7910549,4,True,True,0.0,False,True
usa_gunslinger,71,0.7634151711562147,1.8226936316754039,0.47988534,0.8164063,4,True,True,0.00013614198371246814,False,True
pamela_moore13,135,0.7633596939469567,1.823871712833814,0.47248703,0.82865196,4,True,True,0.00012693532703314875,False,True
ameliebaldwin,109,0.7628620699884735,1.7923617394733338,0.4603476,0.84192735,4,True,True,8.393205084274286e-06,False,True
andrebeauleger,3,0.762540569936391,1.8352397660558457,0.6025663,0.74272364,6,True,True,0.0,False,True
luke_jones13,45,0.7619315017946064,1.8450704663618147,0.45878637,0.80135506,4,True,True,0.0,False,True
albertmorenmore,1,0.7618005341500975,1.7938235920056675,0.44763944,0.8419446,10,True,True,0.0,False,True
