topic_id,word,weight,rank
0,igetdepressedwhen,0.017412,1
0,rncincle,0.016258,2
0,donttellanyonebut,0.014395,3
0,trumpbecause,0.012003,4
0,gunsny,0.010110,5
0,vegasgopdebate,0.009173,6
0,survivaltips,0.009121,7
0,demdebate,0.007621,8
0,happybirthdayharrytruman,0.007357,9
0,mybedroominwords,0.007182,10
0,eine,0.007166,11
0,price,0.006702,12
0,gopdebate,0.006660,13
0,maketvsexy,0.006277,14
0,also_think,0.005343,15
0,think,0.005173,16
0,wird,0.004642,17
0,demndebate,0.004234,18
0,video_pro,0.004200,19
0,trumpindetroit,0.004083,20
1,reasonstoprotest,0.016967,1
1,politics_conservative,0.015140,2
1,ihatepokemongobecause,0.009733,3
1,usa_america,0.009592,4
1,vol,0.008629,5
1,addabandtoatvshow,0.007275,6
1,rapstationradio_nowplaying,0.007161,7
1,neverforget,0.005593,8
1,hillaryshealth,0.005394,9
1,teapartynews_teaparty,0.005210,10
1,official_music,0.005125,11
1,dakota_access,0.004688,12
1,engagement,0.004427,13
1,geert_wilder,0.004355,14
1,pneumonia,0.004088,15
1,google_play,0.003913,16
1,standingrock,0.003751,17
1,makeamovieblack,0.003748,18
1,thatll,0.003720,19
1,wethepeople_patriot,0.003397,20
2,politics,0.111533,1
2,news,0.061534,2
2,clinton,0.012195,3
2,donald_trump,0.011049,4
2,say,0.009749,5
2,topvideo,0.009715,6
2,sport,0.008859,7
2,topnews,0.007809,8
2,campaign,0.007799,9
2,local,0.007097,10
2,idrunforpresidentif,0.006875,11
2,rnc,0.005510,12
2,visit,0.005181,13
2,convention,0.005116,14
2,gop,0.005108,15
2,cleveland,0.004694,16
2,health,0.004334,17
2,obama,0.004319,18
2,ddark,0.004292,19
2,day,0.004195,20
3,music,0.017091,1
3,playing,0.016488,2
3,nowplaying,0.014995,3
3,listen,0.012261,4
3,get,0.010941,5
3,new,0.010673,6
3,feat,0.008443,7
3,black,0.007964,8
3,video,0.007524,9
3,beat,0.007405,10
3,survivalguidetothanksgiving,0.007183,11
3,via,0.007085,12
3,check,0.006749,13
3,free,0.006370,14
3,artist,0.006289,15
3,mixtape,0.006201,16
3,prod,0.006073,17
3,app,0.005796,18
3,feature,0.005310,19
3,magazine_issue,0.004748,20
4,trump,0.081328,1
4,hillary,0.021546,2
4,clinton,0.016539,3
4,donald_trump,0.014871,4
4,hillary_clinton,0.014152,5
4,obama,0.013701,6
4,vote,0.009759,7
4,election,0.008416,8
4,say,0.007216,9
4,breaking,0.005449,10
4,campaign,0.005176,11
4,maga,0.005076,12
4,president,0.004836,13
4,video,0.004834,14
4,america,0.004277,15
4,gop,0.004257,16
4,debate,0.004232,17
4,medium,0.004136,18
4,win,0.004116,19
4,american,0.003928,20
5,merkelmussbleiben,0.041700,1
5,pjnet,0.041071,2
5,tcot,0.030265,3
5,ihavearighttoknow,0.028133,4
5,wakeupamerica,0.023919,5
5,mustbebanned,0.022100,6
5,ccot,0.018600,7
5,tcot_ccot,0.015967,8
5,cruz,0.015437,9
5,cruzcrew_pjnet,0.010325,10
5,ted_cruz,0.008558,11
5,teaparty,0.008128,12
5,cruzcrew,0.008094,13
5,ifihadabodydouble,0.007664,14
5,unlikelythingsheardatwalmart,0.007450,15
5,pjnet_tcot,0.006927,16
5,tcot_pjnet,0.006920,17
5,constitution,0.006629,18
5,ccot_tcot,0.006446,19
5,tedcruz,0.006439,20
6,alternativeacronyminterpretations,0.035768,1
6,islamkills,0.026979,2
6,brussels,0.014203,3
6,thingsdonebymistake,0.011206,4
6,refugee,0.010483,5
6,stopislam,0.009090,6
6,le,0.008788,7
6,vulnerabilityinwords,0.008159,8
6,stopislam_islamkills,0.007560,9
6,prayforbrussels,0.007120,10
6,de,0.007104,11
6,dans,0.006126,12
6,honorforthebrave,0.005925,13
6,brussels_islamkills,0.005823,14
6,syrian_refugee,0.005674,15
6,istartcryingwhen_think,0.005408,16
6,supremesacrificeday,0.005159,17
6,sock,0.004898,18
6,win_major,0.004753,19
6,avec,0.004731,20
7,demsinphilly,0.027918,1
7,stonedcomicbooks,0.013364,2
7,american_thinker,0.011825,3
7,killed_police,0.009240,4
7,oneletteroffsports,0.007442,5
7,signsyouareamerican,0.007081,6
7,pjnet,0.006600,7
7,ibd_hillary,0.006164,8
7,capture,0.005192,9
7,newprefighttrashtalk,0.005179,10
