user_id,post_count,gini_coefficient,shannon_entropy,top1_ratio,top2_ratio,dominant_topic,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11
worldnewspoli,21,0.836373,1.276771,0.748710,0.895433,4,0.004031,0.004703,0.013994,0.012765,0.748710,0.001998,0.001430,0.000785,0.146724,0.002537,0.060470,0.001853
jrrbrtt,1,0.810083,1.521502,0.628416,0.862305,10,0.004252,0.004119,0.008607,0.005866,0.102890,0.003138,0.002308,0.001774,0.233890,0.002540,0.628416,0.002201
danny_turner_1,1,0.788269,1.635927,0.510030,0.878425,8,0.005186,0.005025,0.010486,0.007155,0.079132,0.003828,0.002815,0.002164,0.510030,0.003098,0.368395,0.002685
finley1589,66,0.785216,1.706605,0.551229,0.853269,4,0.006237,0.005970,0.016662,0.008680,0.551229,0.008948,0.002991,0.002286,0.302040,0.003321,0.089563,0.002073
heyitsglor,1,0.782850,1.728624,0.515071,0.782439,8,0.002407,0.002333,0.004869,0.028447,0.172732,0.001777,0.001307,0.001005,0.515071,0.001438,0.267368,0.001246
orrclay,2,0.780319,1.731837,0.577716,0.834314,8,0.007512,0.007278,0.015212,0.010374,0.104177,0.005545,0.004077,0.003134,0.577716,0.004488,0.256598,0.003889
kelvsok,1,0.778644,1.705275,0.474487,0.812270,4,0.003744,0.003627,0.007796,0.005170,0.474487,0.002763,0.002032,0.001562,0.337783,0.002236,0.156862,0.001938
kenzdonovan,58,0.775000,1.757874,0.511570,0.837735,4,0.007885,0.005659,0.014313,0.005370,0.511570,0.004906,0.001610,0.007631,0.326164,0.002674,0.107713,0.004503
kateritterrrr,68,0.773055,1.787053,0.531667,0.832920,4,0.004946,0.005991,0.012231,0.011463,0.531667,0.014966,0.003002,0.007102,0.301253,0.001939,0.102164,0.003276
warfareww,27,0.771109,1.764010,0.635414,0.817833,8,0.012972,0.009473,0.026438,0.014588,0.182419,0.008685,0.004170,0.003206,0.635414,0.007617,0.088899,0.006119
yattvrussia,1,0.769944,1.784710,0.531840,0.844932,4,0.008394,0.008133,0.016968,0.011590,0.531840,0.006196,0.004556,0.003503,0.313092,0.005015,0.086368,0.004345
patriotblake,191,0.769362,1.786393,0.496821,0.822421,8,0.006390,0.005558,0.011902,0.008834,0.325600,0.004854,0.005665,0.002297,0.496821,0.004610,0.124742,0.002727
lgbtuni,2,0.768894,1.789995,0.505557,0.837954,8,0.007512,0.007279,0.015226,0.010374,0.332396,0.005545,0.004078,0.003135,0.505557,0.004488,0.100521,0.003889
kristyanann,1,0.768803,1.780521,0.608079,0.786910,10,0.009214,0.008928,0.018565,0.012718,0.137742,0.006802,0.005002,0.003845,0.178831,0.005505,0.608079,0.004770
missourinewsus,28,0.768707,1.841637,0.551244,0.803403,4,0.008238,0.013532,0.027473,0.010749,0.551244,0.005124,0.002504,0.005572,0.252160,0.002756,0.117865,0.002783
cynthiamhunter,68,0.763998,1.831450,0.522245,0.826263,4,0.013403,0.007539,0.012465,0.004209,0.522245,0.008548,0.002015,0.013043,0.304018,0.005130,0.102647,0.004736
4ever1937,4,0.763479,1.839320,0.519749,0.791055,4,0.007506,0.007273,0.015190,0.010363,0.519749,0.005541,0.004074,0.003132,0.271306,0.004485,0.147496,0.003886
usa_gunslinger,71,0.763415,1.822694,0.479885,0.816406,4,0.008413,0.005709,0.014449,0.008607,0.479885,0.005370,0.002562,0.004759,0.336521,0.004248,0.125994,0.003484
pamela_moore13,135,0.763360,1.823872,0.472487,0.828652,4,0.012426,0.011574,0.014581,0.006607,0.472487,0.003972,0.002689,0.004816,0.356165,0.002814,0.108187,0.003682
ameliebaldwin,109,0.762862,1.792362,0.460348,0.841927,4,0.006096,0.007318,0.015245,0.003871,0.460348,0.007492,0.003163,0.006638,0.381580,0.003922,0.099495,0.004833
andrebeauleger,3,0.762541,1.835240,0.602566,0.742724,6,0.005599,0.005425,0.011290,0.007725,0.082349,0.004133,0.602566,0.002336,0.132176,0.003345,0.140157,0.002898
luke_jones13,45,0.761932,1.845070,0.458786,0.801355,4,0.012287,0.010377,0.016339,0.005575,0.458786,0.002981,0.003035,0.001685,0.342569,0.003111,0.140189,0.003066
albertmorenmore,1,0.761801,1.793824,0.447639,0.841945,10,0.007144,0.006922,0.014394,0.009861,0.099634,0.005274,0.003878,0.002981,0.394305,0.004268,0.447639,0.003699
israel_wills,1,0.761290,1.825923,0.408465,0.807574,8,0.044303,0.003245,0.006809,0.004623,0.124025,0.002472,0.001818,0.001397,0.408465,0.002001,0.399109,0.001734
dannymaslov,1,0.760397,1.811416,0.472151,0.848069,8,0.008419,0.008158,0.016963,0.011627,0.375918,0.006215,0.004570,0.003513,0.472151,0.005030,0.083077,0.004359
interfischer,5,0.759399,1.900486,0.570719,0.769265,4,0.039717,0.008014,0.010716,0.007325,0.570720,0.020874,0.002881,0.005220,0.198546,0.003171,0.130070,0.002748
todayinsyria,66,0.758903,1.837261,0.616073,0.810805,8,0.014176,0.018899,0.024898,0.015750,0.194732,0.005249,0.006080,0.006670,0.616073,0.005581,0.085390,0.006503
southlonestar,90,0.757867,1.837359,0.460634,0.829592,4,0.008998,0.009571,0.015921,0.007135,0.460634,0.006083,0.004892,0.005699,0.368959,0.003415,0.105776,0.002917
redlanews,51,0.757854,1.878031,0.511441,0.806507,4,0.013147,0.012520,0.015037,0.009945,0.511441,0.006903,0.002433,0.006449,0.295067,0.004807,0.119327,0.002925
hyddrox,148,0.757606,1.813820,0.430286,0.821612,8,0.007267,0.005691,0.013432,0.005644,0.391326,0.005883,0.002031,0.005500,0.430286,0.004926,0.125026,0.002989
dailysanfran,94,0.757593,1.922206,0.533897,0.773692,4,0.005886,0.010746,0.124254,0.010399,0.533897,0.006282,0.005283,0.002518,0.239795,0.002250,0.054689,0.004002
newarkvoice,100,0.757505,1.900684,0.574753,0.794292,4,0.006707,0.009536,0.051077,0.019620,0.574753,0.007615,0.004342,0.005767,0.219539,0.005964,0.091723,0.003356
williams_diana_,1,0.757136,1.834589,0.633109,0.756896,8,0.008397,0.096912,0.016918,0.011601,0.123786,0.006198,0.004558,0.003504,0.633109,0.005017,0.085652,0.004347
rogovilia,4,0.756735,1.914734,0.514764,0.777300,4,0.005877,0.005695,0.083516,0.008113,0.514764,0.004338,0.003190,0.002452,0.262536,0.003511,0.102964,0.003043
happkendrahappy,63,0.756594,1.854084,0.531242,0.826426,4,0.009555,0.007348,0.012640,0.010582,0.531242,0.009407,0.005482,0.013035,0.295184,0.006203,0.095831,0.003492
paulinett,246,0.756473,1.915931,0.535572,0.734990,8,0.008025,0.008174,0.020502,0.040092,0.174520,0.003015,0.002270,0.003004,0.535572,0.002628,0.199418,0.002780
ten_gop,215,0.756340,1.825602,0.422578,0.834640,4,0.011145,0.010347,0.017620,0.007014,0.422578,0.004217,0.003175,0.004967,0.412062,0.003220,0.101200,0.002455
donnabrivera,65,0.756110,1.895108,0.518455,0.805064,4,0.012224,0.007525,0.015611,0.010044,0.518455,0.017467,0.002478,0.008894,0.286609,0.003986,0.114019,0.002687
nojonathonno,56,0.755260,1.888799,0.449963,0.812351,4,0.007057,0.014876,0.027317,0.007564,0.449963,0.007060,0.002810,0.003152,0.362388,0.003562,0.111856,0.002395
newspeakdaily,107,0.754823,1.921301,0.469681,0.752928,4,0.003061,0.005931,0.283247,0.006693,0.469681,0.003665,0.003330,0.001387,0.165601,0.005182,0.049748,0.002476
patriototus,64,0.754468,1.892627,0.491639,0.779339,8,0.006258,0.009707,0.017890,0.008478,0.287700,0.007347,0.004336,0.002960,0.491639,0.003991,0.154389,0.005304
arkadii_trofim,5,0.754433,1.903366,0.460906,0.808553,8,0.006861,0.006648,0.046564,0.009474,0.347647,0.005065,0.003724,0.002863,0.460906,0.004099,0.102596,0.003552
wadeharriot,70,0.753874,1.892861,0.495568,0.812385,4,0.014417,0.008338,0.012065,0.008162,0.495568,0.014926,0.002279,0.010278,0.316816,0.004685,0.110006,0.002459
thefoundingson,242,0.753596,1.869321,0.460457,0.757034,8,0.006941,0.006050,0.010672,0.005654,0.296577,0.009798,0.004958,0.002002,0.460457,0.002473,0.190875,0.003544
arturburanof,5,0.752884,1.905533,0.473542,0.804876,8,0.007250,0.007025,0.014729,0.010009,0.331334,0.005352,0.003935,0.003025,0.473542,0.020595,0.119451,0.003753
