user_id,post_count,gini_coefficient,shannon_entropy,top1_ratio,top2_ratio,dominant_topic,suspicious_post_freq,suspicious_narrowness,duplicate_post_ratio,suspicious_duplicates,suspicious
mtthsberger,2,0.9090909090909091,0.0,1.0,1.0,1,True,True,0.0,False,True
jrrbrtt,1,0.9090909090909091,0.0,1.0,1.0,2,True,True,0.0,False,True
nana_lama,1,0.9090909090909091,0.0,1.0,1.0,7,True,True,0.0,False,True
moda_barina,1,0.9090909090909091,0.0,1.0,1.0,7,True,True,0.0,False,True
shikarnoel,1,0.9090909090909091,0.0,1.0,1.0,7,True,True,0.0,False,True
krivelev_law,1,0.9090909090909091,0.0,1.0,1.0,7,True,True,0.0,False,True
sonderkatharina,1,0.9090909090909091,0.0,1.0,1.0,1,True,True,0.0,False,True
klausfinker,1,0.9090909090909091,0.0,1.0,1.0,1,True,True,0.0,False,True
christinacrisss,1,0.9090909090909091,0.0,1.0,1.0,0,True,True,0.0,False,True
horrorki,1,0.9090909090909091,0.0,1.0,1.0,10,True,True,0.0,False,True
tinatkurtz1222,1,0.9090909090909091,0.0,1.0,1.0,1,True,True,0.0,False,True
joseph_jenks,1,0.9090909090909091,0.0,1.0,1.0,6,True,True,0.0,False,True
mwiqcen,1,0.9090909090909091,0.0,1.0,1.0,7,True,True,0.0,False,True
politopros,1,0.9090909090909091,0.0,1.0,1.0,4,True,True,0.0,False,True
ttlenlen,1,0.9090909090909091,0.0,1.0,1.0,7,True,True,0.0,False,True
gracelilstar,1,0.9090909090909091,0.0,1.0,1.0,0,True,True,0.0,False,True
russianallies,1,0.9090909090909091,0.0,1.0,1.0,4,True,True,0.0,False,True
oooonlyone,1,0.9090909090909091,0.0,1.0,1.0,10,True,True,0.0,False,True
handsome_henson,1,0.9090909090909091,0.0,1.0,1.0,2,True,True,0.0,False,True
zubovnik,1,0.9090909090909091,0.0,1.0,1.0,0,True,True,0.0,False,True
albertmorenmore,1,0.9090909090909091,0.0,1.0,1.0,2,True,True,0.0,False,True
zistti,1,0.9090909090909091,0.0,1.0,1.0,10,True,True,0.0,False,True
ostrovofficer,1,0.9090909090909091,0.0,1.0,1.0,10,True,True,0.0,False,True
danny_turner_1,1,0.9090909090909091,0.0,1.0,1.0,2,True,True,0.0,False,True
israel_wills,1,0.9090909090909091,0.0,1.0,1.0,2,True,True,0.0,False,True
inspectan,1,0.9090909090909091,0.0,1.0,1.0,7,True,True,0.0,False,True
yattvrussia,1,0.9090909090909091,0.0,1.0,1.0,0,True,True,0.0,False,True
lmarinays,1,0.90896652119915,0.005086211221676938,0.9996476,0.99991596,7,True,True,0.0,False,True
jorda_morgan,1,0.9087979479473736,0.010950004378025189,0.99917024,0.99980205,7,True,True,0.0,False,True
gorelkinnn,1,0.9087009111716486,0.014121424250778844,0.9988952,0.9997364,7,True,True,0.0,False,True
shapka_mono,2,0.9083309027454827,0.017062425664388443,0.998785,0.9991243,0,True,True,0.0,False,True
bratuha_borcuha,1,0.9074555232482979,0.049622836809591786,0.9953678,0.99889505,7,True,True,0.0,False,True
riafanru,1,0.907423696969541,0.05084187133673873,0.995227,0.99887633,4,True,True,0.0,False,True
msm0re,2,0.9073564064577007,0.059359258376140936,0.9941288,0.9988457,10,True,True,0.0,False,True
whitehousecards,16,0.9073191604872716,0.05359790944018876,0.9949256,0.99880624,4,True,True,0.00024285107158035334,False,True
sovasof,2,0.9072989694848249,0.059895914114784815,0.99409264,0.99880844,7,True,True,0.0,False,True
arseni_roman,1,0.9056386516402891,0.09417413097246861,0.9902218,0.99766743,7,True,True,0.0,False,True
mrservelat,1,0.9049333830744164,0.11023867567534616,0.988224,0.9971908,7,True,True,0.0,False,True
kadirovrussia,6,0.904906344685746,0.11163319699986725,0.9880214,0.9971795,4,True,True,0.0,False,True
margosavazh,4,0.904682432731389,0.11665581058241174,0.98737967,0.9970287,4,True,True,0.0,False,True
sto_christi,1,0.9016941881008361,0.17731133981931055,0.9792691,0.9950016,1,True,True,0.0,False,True
coldwar20_ru,4,0.9014625066420183,0.18444868432361117,0.97815967,0.9948588,4,True,True,0.0,False,True
milimillennium,1,0.8984839547975937,0.24024834790689265,0.96995676,0.99283284,7,True,True,0.0,False,True
lavrovmuesli,7,0.8964320413487753,0.2792149730608318,0.9637573,0.99146855,4,True,True,0.0,False,True
rogovilia,2,0.8947739250974761,0.2346276754048884,0.97557807,0.9824036,0,True,True,0.0,False,True
