topic_id,word,weight,rank
0,trump,0.217985,1
0,amp,0.205629,2
0,rt,0.202667,3
0,clinton,0.200684,4
0,dont,0.199902,5
0,hillary,0.198398,6
0,get,0.196460,7
0,people,0.195860,8
0,like,0.194632,9
0,politics,0.191586,10
1,merkelmussbleiben,0.837148,1
1,die,0.740163,2
1,der,0.712949,3
1,merkel,0.709373,4
1,ist,0.682992,5
1,und,0.664514,6
1,für,0.591842,7
1,sie,0.580921,8
1,das,0.573890,9
1,es,0.532842,10
2,islamkills,1.168386,1
2,brussels,0.917858,2
2,stopislam,0.845529,3
2,prayforbrussels,0.795898,4
2,refugees,0.723903,5
2,prayerscalifornia,0.695091,6
2,gunsny,0.599066,7
2,terrorists,0.447951,8
2,syrian,0.423100,9
2,gun,0.396995,10
3,supremesacrificeday,1.136739,1
3,sacrifice,0.915515,2
3,happyindependenceday,0.837758,3
3,christmasaftermath,0.824892,4
3,happybirthdaymlk,0.792339,5
3,happybirthdaygeorgewashington,0.740354,6
3,happybirthdayharrytruman,0.713292,7
3,birthday,0.536019,8
3,happy,0.500585,9
3,honors,0.493816,10
4,клинтон,1.374691,1
4,трампа,1.168958,2
4,трамп,1.116678,3
4,на,1.110193,4
4,хиллари,1.077954,5
4,за,1.019450,6
4,что,0.949158,7
4,сша,0.842442,8
4,не,0.783389,9
4,дональда,0.710802,10
5,rncincle,1.010977,1
5,heimbach,0.911631,2
5,worldphotographyday,0.911631,3
5,sony,0.884083,4
5,stanleycup,0.811221,5
5,nerdlandforever,0.811221,6
5,photography,0.797231,7
5,gopconvention,0.738895,8
5,awards,0.697972,9
5,lucifer,0.675914,10
6,itsokbegay,1.723989,1
6,jebwecan,1.290146,2
6,nocybercensorship,1.128237,3
6,iloveobama,1.087738,4
6,prayforgay,0.942190,5
6,gay,0.901046,6
6,marriage,0.897390,7
6,marriages,0.884987,8
6,gaylovematters,0.877812,9
6,ilovehillary,0.802811,10
7,imwithhumusmarshmallowspeanutbuttersteakribeye,2.595114,1
7,imwithchickenavocadosubwaydressedwithsweetonionanddoublehoneymustard,2.595114,2
7,stoppedit,2.442857,3
7,glorification,2.442857,4
7,monsters,2.141922,5
7,creating,1.916879,6
7,elect,1.829070,7
7,violence,1.478349,8
7,game,1.347399,9
7,must,1.190813,10
8,oscarhasnocolor,1.698459,1
8,oscarssowhite,1.562558,2
8,oscarformuhammad,1.498169,3
8,oscars,1.138914,4
8,oscarnoms,1.121774,5
8,whoismuhammad,0.963232,6
8,blackactorssobad,0.801802,7
8,oscarsoblack,0.766166,8
8,rascism,0.702051,9
8,smithwith,0.669887,10
9,game,1.502616,1
9,hashtag,1.436214,2
9,minutes,1.295109,3
9,starts,1.283724,4
9,hosted,1.230594,5
9,makemehateyouinonephrase,0.801415,6
9,min,0.765568,7
9,miss,0.765521,8
9,monday,0.761377,9
9,electioninwords,0.726079,10
10,oprah,2.942004,1
10,winfrey,2.319205,2
10,teases,2.230427,3
10,bid,1.890217,4
10,youtube,1.645556,5
10,show,1.610298,6
10,president,0.951604,7
10,donald,0.902611,8
10,trumpobama,0.760453,9
10,handshake,0.746902,10
