user_id,post_count,gini_coefficient,shannon_entropy,top1_ratio,top2_ratio,dominant_topic,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
jrrbrtt,1,0.909091,0.000000,1.000000,1.000000,2,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
nana_lama,1,0.909091,0.000000,1.000000,1.000000,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
moda_barina,1,0.909091,0.000000,1.000000,1.000000,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
shikarnoel,1,0.909091,0.000000,1.000000,1.000000,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
krivelev_law,1,0.909091,0.000000,1.000000,1.000000,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
sonderkatharina,1,0.909091,0.000000,1.000000,1.000000,1,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
klausfinker,1,0.909091,0.000000,1.000000,1.000000,1,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
mtthsberger,2,0.909091,0.000000,1.000000,1.000000,1,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
christinacrisss,1,0.909091,0.000000,1.000000,1.000000,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
horrorki,1,0.909091,0.000000,1.000000,1.000000,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
tinatkurtz1222,1,0.909091,0.000000,1.000000,1.000000,1,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
joseph_jenks,1,0.909091,0.000000,1.000000,1.000000,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
mwiqcen,1,0.909091,0.000000,1.000000,1.000000,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
politopros,1,0.909091,0.000000,1.000000,1.000000,4,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ttlenlen,1,0.909091,0.000000,1.000000,1.000000,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
gracelilstar,1,0.909091,0.000000,1.000000,1.000000,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
russianallies,1,0.909091,0.000000,1.000000,1.000000,4,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
oooonlyone,1,0.909091,0.000000,1.000000,1.000000,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
handsome_henson,1,0.909091,0.000000,1.000000,1.000000,2,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
zubovnik,1,0.909091,0.000000,1.000000,1.000000,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
albertmorenmore,1,0.909091,0.000000,1.000000,1.000000,2,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
zistti,1,0.909091,0.000000,1.000000,1.000000,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
ostrovofficer,1,0.909091,0.000000,1.000000,1.000000,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
danny_turner_1,1,0.909091,0.000000,1.000000,1.000000,2,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
israel_wills,1,0.909091,0.000000,1.000000,1.000000,2,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
inspectan,1,0.909091,0.000000,1.000000,1.000000,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
yattvrussia,1,0.909091,0.000000,1.000000,1.000000,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
lmarinays,1,0.908967,0.005086,0.999648,0.999916,7,0.000268,0.000006,0.000014,0.000012,0.000009,0.000017,0.000010,0.997761,0.000005,0.000006,0.000005
jorda_morgan,1,0.908798,0.010950,0.999170,0.999802,7,0.000624,0.000015,0.000032,0.000027,0.000020,0.000040,0.000024,0.987252,0.000012,0.000014,0.000012
gorelkinnn,1,0.908701,0.014121,0.998895,0.999736,7,0.000827,0.000019,0.000043,0.000036,0.000026,0.000053,0.000031,0.982299,0.000016,0.000018,0.000016
shapka_mono,2,0.908331,0.017062,0.998785,0.999124,0,0.502372,0.000013,0.000097,0.000090,0.000020,0.000171,0.000073,0.000012,0.000060,0.000046,0.000031
bratuha_borcuha,1,0.907456,0.049623,0.995368,0.998895,7,0.003367,0.000079,0.000175,0.000146,0.000107,0.000214,0.000128,0.950026,0.000066,0.000075,0.000066
riafanru,1,0.907424,0.050842,0.995227,0.998876,4,0.003244,0.000096,0.000186,0.000129,0.884576,0.000192,0.000131,0.000062,0.000060,0.000066,0.000076
msm0re,2,0.907356,0.059359,0.994129,0.998846,10,0.002372,0.000013,0.000097,0.000090,0.000020,0.000171,0.000073,0.000012,0.000060,0.000046,0.500031
whitehousecards,16,0.907319,0.053598,0.994926,0.998806,4,0.003303,0.000098,0.000190,0.000132,0.846906,0.000195,0.000134,0.000063,0.000061,0.000068,0.000077
sovasof,2,0.907299,0.059896,0.994093,0.998808,7,0.002372,0.000013,0.000097,0.000090,0.000020,0.000171,0.000073,0.500012,0.000060,0.000046,0.000031
arseni_roman,1,0.905639,0.094174,0.990222,0.997667,7,0.006600,0.000155,0.000343,0.000286,0.000210,0.000419,0.000250,0.877792,0.000129,0.000146,0.000130
mrservelat,1,0.904933,0.110239,0.988224,0.997191,7,0.007743,0.000182,0.000402,0.000335,0.000246,0.000492,0.000294,0.853368,0.000151,0.000172,0.000152
kadirovrussia,6,0.904906,0.111633,0.988021,0.997180,4,0.007136,0.000211,0.000410,0.000285,0.769912,0.000422,0.000289,0.000137,0.000131,0.000146,0.000166
margosavazh,4,0.904682,0.116656,0.987380,0.997029,4,0.008001,0.000237,0.000460,0.000319,0.818737,0.000473,0.000324,0.000153,0.000147,0.000164,0.000187
sto_christi,1,0.901694,0.177311,0.979269,0.995002,1,0.015733,0.979269,0.000773,0.000614,0.000776,0.000934,0.000567,0.000345,0.000285,0.000325,0.000380
coldwar20_ru,4,0.901463,0.184449,0.978160,0.994859,4,0.011924,0.000353,0.000685,0.000476,0.698451,0.000705,0.000483,0.000228,0.000219,0.000244,0.000278
milimillennium,1,0.898484,0.240248,0.969957,0.992833,7,0.016083,0.000378,0.000835,0.000696,0.000511,0.001022,0.000610,0.681940,0.000313,0.000356,0.000316
lavrovmuesli,7,0.896432,0.279215,0.963757,0.991469,4,0.015021,0.000444,0.000863,0.000599,0.522413,0.000888,0.000609,0.000287,0.000276,0.000307,0.000350
