user_id,post_count,gini_coefficient,shannon_entropy,top1_ratio,top2_ratio,dominant_topic,suspicious_post_freq,suspicious_narrowness,duplicate_post_ratio,suspicious_duplicates,suspicious
heyitsglor,1,0.9059660306496787,0.18074456498499072,0.9823193,0.9867246,5,True,True,0.0,False,True
washingtonline,19,0.8989405448567899,0.40475549337814165,0.9450532,0.9713544,7,True,True,8.771698990377447e-06,False,True
oaklandonline,13,0.8950564188664112,0.4879709328332948,0.92813694,0.97951025,7,True,True,0.0008733624454148472,False,True
policestateme,1,0.8892333550029434,0.4006142801323534,0.9547231,0.96602535,5,True,True,0.0,False,True
luke_jones13,9,0.887146148137011,0.5674668175069126,0.9178021,0.97128296,5,True,True,0.0,False,True
kansasdailynews,20,0.882812049019116,0.6731512743493391,0.89424145,0.9444532,7,True,True,0.00016569625987885296,False,True
newspeakdaily,16,0.882250230760595,0.7700591985442602,0.8560741,0.95182943,7,True,True,3.569822151460414e-05,False,True
onlinecleveland,17,0.8807220872173881,0.7097831490264902,0.88909286,0.9353986,7,True,True,2.8533723294218355e-05,False,True
realten_gop,17,0.8807118856008552,0.7255238611467087,0.8824372,0.95869666,5,True,True,0.0005453752181500873,False,True
lgbtuni,2,0.877966839102252,0.5328752590082724,0.93607104,0.9521163,5,True,True,0.0,False,True
zubovnik,1,0.8740762531136473,0.5764296933566279,0.9296339,0.94729346,5,True,True,0.0,False,True
anzgri,1,0.8739920802375613,0.5775002423625861,0.92946064,0.947109,5,True,True,0.0,False,True
patriototus,15,0.8738446301964965,0.7739850465155055,0.88127303,0.9295897,5,True,True,7.390983000739098e-05,False,True
redlanews,15,0.8728885533632076,0.7335661138663554,0.89378506,0.9466301,5,True,True,0.0,False,True
batonrougevoice,17,0.8708686245238334,0.8210474109935096,0.87176824,0.93335325,7,True,True,0.00011640765962400326,False,True
yattvrussia,1,0.8688306447972233,0.6341824134209387,0.9208686,0.9408536,5,True,True,0.0,False,True
williams_diana_,1,0.8688037959114738,0.6334197993513503,0.9210251,0.9407334,5,True,True,0.0,False,True
mmmdarya,1,0.867647626864103,0.8831072645660287,0.83564085,0.96164036,5,True,True,0.0,False,True
