topic_id,word,weight,rank
0,thingsyoucantignore,0.027261,1
0,betteralternativetodebates,0.026578,2
0,ihavearighttoknow,0.026145,3
0,secondhandgifts,0.018847,4
0,thingsnottaughtatschool,0.012909,5
0,sometimesitsokto,0.012719,6
0,ifhillarybecomespresident,0.012252,7
0,lostinwords,0.010545,8
0,mybestfriendisntallowed,0.010279,9
0,thingsmoretrustedthanhillary,0.009112,10
0,ilove__butihate__,0.008484,11
0,mywordnewyearsresolution,0.008192,12
0,mybedroominwords,0.007843,13
0,lastminutegifts,0.006892,14
0,famouscreatures,0.006789,15
0,hate,0.006264,16
0,sometimestwittermakesme,0.005691,17
0,usa_america,0.004971,18
0,love,0.004589,19
0,allmalereboots,0.004492,20
1,rejecteddebatetopics,0.032424,1
1,inwords,0.023807,2
1,makemehateyouinonephrase,0.022107,3
1,christmasaftermath,0.020714,4
1,islamkills,0.018801,5
1,imtoooldfor,0.010518,6
1,brussels,0.009833,7
1,survivaltips,0.008718,8
1,thingsmoretrustedthanhillary,0.006892,9
1,mybiggesthope,0.006398,10
1,refugee,0.006314,11
1,stopislam,0.005692,12
1,summeramovie,0.005692,13
1,stopislam_islamkills,0.005464,14
1,idontneedacostumebecause,0.005090,15
1,prayforbrussels,0.004706,16
1,people,0.004356,17
1,easterinwords,0.004152,18
1,brussels_islamkills,0.004131,19
1,year,0.004120,20
2,pjnet,0.016833,1
2,клинтон,0.009850,2
2,trump,0.007571,3
2,people,0.007313,4
2,cruzcrew_pjnet,0.007127,5
2,via,0.006119,6
2,cruz,0.005372,7
2,tcot,0.005072,8
2,iamonfire,0.004816,9
2,obama,0.004182,10
2,ted_cruz,0.004105,11
2,think,0.003922,12
2,one,0.003827,13
2,right,0.003720,14
2,constitution,0.003473,15
2,never,0.003109,16
2,say,0.002932,17
2,gop,0.002878,18
2,time,0.002835,19
2,supremesacrificeday,0.002821,20
3,dont,0.010598,1
3,like,0.009681,2
3,people,0.009083,3
3,get,0.008663,4
3,one,0.007767,5
3,love,0.007745,6
3,make,0.006766,7
3,life,0.005615,8
3,youre,0.005511,9
3,know,0.005024,10
3,think,0.004963,11
3,never,0.004947,12
