user_id,post_count,gini_coefficient,shannon_entropy,top1_ratio,top2_ratio,dominant_topic,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11
heyitsglor,1,0.905966,0.180745,0.982319,0.986725,5,0.000645,0.000616,0.001102,0.002751,0.000582,0.982319,0.000746,0.004405,0.000740,0.000619,0.001083,0.004392
washingtonline,19,0.898941,0.404755,0.945053,0.971354,7,0.000253,0.000241,0.001410,0.001418,0.000228,0.021567,0.000639,0.945053,0.000290,0.001795,0.000805,0.026301
oaklandonline,13,0.895056,0.487971,0.928137,0.979510,7,0.000465,0.001505,0.000795,0.003865,0.000420,0.051373,0.001242,0.928137,0.000534,0.000446,0.003093,0.008125
policestateme,1,0.889233,0.400614,0.954723,0.966025,5,0.001655,0.001580,0.002829,0.007063,0.001493,0.954723,0.001915,0.011302,0.001899,0.001588,0.002781,0.011172
luke_jones13,9,0.887146,0.567467,0.917802,0.971283,5,0.000236,0.002591,0.002878,0.004895,0.000213,0.917802,0.001524,0.053481,0.000271,0.003849,0.006709,0.005550
kansasdailynews,20,0.882812,0.673151,0.894241,0.944453,7,0.002310,0.001383,0.001294,0.004823,0.000444,0.050212,0.000680,0.894241,0.000917,0.000473,0.001002,0.042220
newspeakdaily,16,0.882250,0.770059,0.856074,0.951829,7,0.000084,0.000080,0.000374,0.005026,0.000249,0.095755,0.001018,0.856074,0.000096,0.000274,0.000323,0.040647
onlinecleveland,17,0.880722,0.709783,0.889093,0.935399,7,0.000110,0.000544,0.005374,0.011269,0.000693,0.043590,0.000127,0.889093,0.000126,0.002283,0.000486,0.046306
realten_gop,17,0.880712,0.725524,0.882437,0.958697,5,0.000647,0.000618,0.001106,0.003813,0.000584,0.882437,0.000749,0.076259,0.001571,0.017611,0.001796,0.012808
lgbtuni,2,0.877967,0.532875,0.936071,0.952116,5,0.002334,0.002229,0.003990,0.009960,0.002107,0.936071,0.002701,0.016045,0.002679,0.002240,0.003922,0.015721
zubovnik,1,0.874076,0.576430,0.929634,0.947293,5,0.002568,0.002453,0.004391,0.010960,0.002318,0.929634,0.002972,0.017660,0.002948,0.002465,0.004316,0.017315
