user_id,post_count,gini_coefficient,shannon_entropy,top1_ratio,top2_ratio,dominant_topic,suspicious_post_freq,suspicious_narrowness,duplicate_post_ratio,suspicious_duplicates,suspicious
todayinsyria,5,0.8571428571428571,0.0,1.0,1.0,0,True,True,0.0003160556257901391,False,True
bocharnikov_v,2,0.8571428571428571,0.0,1.0,1.0,0,True,True,0.0,False,True
msm0re,1,0.8571428571428571,0.0,1.0,1.0,0,True,True,0.0,False,True
christinacrisss,1,0.8571428571428571,0.0,1.0,1.0,0,True,True,0.0,False,True
jon_underwood_,1,0.8571428571428571,0.0,1.0,1.0,0,True,True,0.0,False,True
jorda_morgan,1,0.8571428571428571,0.0,1.0,1.0,0,True,True,0.0,False,True
lmarinays,1,0.8571428571428571,0.0,1.0,1.0,0,True,True,0.0,False,True
lgbtuni,1,0.8571428571428571,0.0,1.0,1.0,0,True,True,0.0,False,True
joseph_jenks,1,0.8571428571428571,0.0,1.0,1.0,4,True,True,0.0,False,True
arseni_roman,1,0.8571428571428571,0.0,1.0,1.0,5,True,True,0.0,False,True
sovasof,1,0.8571428571428571,0.0,1.0,1.0,0,True,True,0.0,False,True
mwiqcen,1,0.8571428571428571,0.0,1.0,1.0,0,True,True,0.0,False,True
kelvsok,1,0.8571428571428571,0.0,1.0,1.0,0,True,True,0.0,False,True
shikarnoel,1,0.8571428571428571,0.0,1.0,1.0,0,True,True,0.0,False,True
banttanantta,1,0.8571428571428571,0.0,1.0,1.0,3,True,True,0.0,False,True
schultei2,1,0.8571428571428571,0.0,1.0,1.0,1,True,True,0.0,False,True
krasilnikovbor,1,0.8571428571428571,0.0,1.0,1.0,0,True,True,0.0,False,True
leecory,1,0.8571428571428571,0.0,1.0,1.0,0,True,True,0.0,False,True
rusnevrotik,1,0.8571428571428571,0.0,1.0,1.0,0,True,True,0.0,False,True
puddin_leto,1,0.8571428571428571,0.0,1.0,1.0,0,True,True,0.0,False,True
iris0_o,1,0.8571428571428571,0.0,1.0,1.0,1,True,True,0.0,False,True
moda_barina,1,0.8571428571428571,0.0,1.0,1.0,0,True,True,0.0,False,True
gorelkinnn,1,0.8571428571428571,0.0,1.0,1.0,0,True,True,0.0,False,True
zubovnik,1,0.8571428571428571,0.0,1.0,1.0,1,True,True,0.0,False,True
yattvrussia,1,0.8571428571428571,0.0,1.0,1.0,1,True,True,0.0,False,True
williams_diana_,1,0.8571428571428571,0.0,1.0,1.0,0,True,True,0.0,False,True
nana_lama,1,0.8571428571428571,0.0,1.0,1.0,5,True,True,0.0,False,True
fischermaria933,1,0.8571428571428571,0.0,1.0,1.0,1,True,True,0.0,False,True
wildharee,1,0.8571428571428571,0.0,1.0,1.0,0,True,True,0.0,False,True
ninonderrien,1,0.8571428571428571,0.0,1.0,1.0,1,True,True,0.0,False,True
mrservelat,1,0.8571428571428571,0.0,1.0,1.0,5,True,True,0.0,False,True
krustyps,1,0.8571428571428571,0.0,1.0,1.0,3,True,True,0.0,False,True
mmmdarya,1,0.8571428571428571,0.0,1.0,1.0,1,True,True,0.0,False,True
handsome_henson,1,0.8571428571428571,0.0,1.0,1.0,0,True,True,0.0,False,True
albertmorenmore,1,0.8571428571428571,0.0,1.0,1.0,0,True,True,0.0,False,True
ttsvetkov,1,0.8571428571428571,0.0,1.0,1.0,1,True,True,0.0,False,True
aleksey_sokol_,1,0.8571428571428571,0.0,1.0,1.0,0,True,True,0.0,False,True
ttlenlen,1,0.8571428571428571,0.0,1.0,1.0,5,True,True,0.0,False,True
milimillennium,1,0.8571428571428571,0.0,1.0,1.0,5,True,True,0.0,False,True
bratuha_borcuha,1,0.8570376653274803,0.003972256414689094,0.9997197,0.9999556,5,True,True,0.0,False,True
med_harley,1,0.857001240502838,0.005186832157250975,0.9996225,0.9999403,5,True,True,0.0,False,True
inspectan,1,0.8569302767983592,0.007453722713936287,0.9994334,0.9999103,5,True,True,0.0,False,True
riafanru,1,0.8527678624086185,0.10467932573729019,0.98754877,0.99885786,1,True,True,0.0,False,True
shapka_mono,1,0.8527235856175798,0.0677618846172971,0.9938863,0.9955703,0,True,True,0.0,False,True
sincerepruitt,4,0.8517053932421387,0.08826928401220277,0.99156517,0.99533147,0,True,True,0.0,False,True
travisrespek,5,0.8510158053326712,0.09175663534278418,0.99131143,0.99446154,0,True,True,0.0,False,True
colbyst1,2,0.8504428779947392,0.09474356552947537,0.99106306,0.9938606,0,True,True,0.0,False,True
ogdeandre,5,0.8504277565068976,0.10417337427628316,0.9898382,0.9938367,0,True,True,0.0,False,True
coldwar20_ru,3,0.8502145965405229,0.1525940362329704,0.9802811,0.9981916,1,True,True,0.0,False,True
donnielmiller,3,0.8500096151551682,0.10785129850739408,0.9894549,0.9934429,0,True,True,0.0,False,True
valeyina_dm,2,0.8500057090812709,0.12629342811604022,0.98657167,0.994842,0,True,True,0.014705882352941176,False,True
newspeakdaily,5,0.8495369079416344,0.1131237706348952,0.9888834,0.9931506,0,True,True,5.696484201157098e-05,False,True
ssus_panther,1,0.8491776426625507,0.11007057338304344,0.98936325,0.99270403,0,True,True,0.0,False,True
chesplayschess,5,0.8489786701275698,0.11575673902827938,0.9886384,0.9926972,0,True,True,0.00025391988827524917,False,True
robertebonyking,4,0.8481680333443073,0.1332889406779574,0.98643875,0.9917444,0,True,True,0.0,False,True
peytoncashout,4,0.8475596524068916,0.164635433779877,0.9814517,0.9932361,0,True,True,0.0,False,True
