topic_id,word,weight,rank
0,trump,0.279474,1
0,rt,0.260681,2
0,clinton,0.252388,3
0,politics,0.242386,4
0,hillary,0.241507,5
0,obama,0.228770,6
0,amp,0.225727,7
0,people,0.223296,8
0,dont,0.221577,9
0,news,0.217641,10
1,merkelmussbleiben,0.904712,1
1,die,0.788877,2
1,merkel,0.749972,3
1,der,0.747117,4
1,ist,0.711791,5
1,und,0.675730,6
1,sie,0.611956,7
1,für,0.599143,8
1,das,0.587448,9
1,es,0.556189,10
2,summeramovie,2.251643,1
2,local,0.693495,2
2,beach,0.680139,3
2,news,0.667061,4
2,sports,0.659080,5
2,tan,0.593787,6
2,sunburn,0.585793,7
2,police,0.494166,8
2,man,0.490166,9
2,township,0.478266,10
3,jogging,1.600865,1
3,session,1.431867,2
3,wordsforafriend,1.375594,3
3,game,1.373160,4
3,starts,1.272336,5
3,minutes,1.204965,6
3,hashtag,1.168783,7
3,interesting,1.103036,8
3,hosted,1.083215,9
3,mypreworkoutroutine,1.053328,10
4,gaylovematters,1.790550,1
4,sdiscriminated,1.427242,2
4,prayforgay,1.392269,3
4,gaylo,1.361839,4
4,couples,1.349891,5
4,gayweddingcake,1.338496,6
4,itsokbegay,1.132443,7
4,hillarynothnx,1.132443,8
4,showoff,1.108676,9
4,thiscouldbeusbut,1.045921,10
5,imwithhumusmarshmallowspeanutbuttersteakribeye,4.803363,1
5,imwithchickenavocadosubwaydressedwithsweetonionanddoublehoneymustard,4.803363,2
5,elect,3.445074,3
5,rt,0.448428,4
5,,0.000010,5
5,,0.000010,6
5,,0.000010,7
5,,0.000010,8
5,,0.000010,9
5,,0.000010,10
6,reasonstoleaveeu,3.840839,1
6,eurozone,1.845084,2
6,uncompetitive,1.433253,3
6,european,1.269791,4
6,splash,1.205505,5
6,undemocratic,1.163761,6
6,hugging,1.116308,7
6,eu,1.086406,8
6,ruins,1.076930,9
6,kingdom,1.061303,10
