user_id,post_count,gini_coefficient,shannon_entropy,top1_ratio,top2_ratio,dominant_topic,suspicious_post_freq,suspicious_narrowness,duplicate_post_ratio,suspicious_duplicates,suspicious
ninonderrien,1,0.8737425149611227,0.022735894152978643,0.9982738,0.9987027,2,True,True,0.0,False,True
andrebeauleger,1,0.8737024677166119,0.02337868737226515,0.99821883,0.9986614,2,True,True,0.0,False,True
karolineauge,1,0.8736339410598267,0.024472690512234833,0.9981249,0.9985908,2,True,True,0.0,False,True
peterkistner,3,0.8736329751536687,0.023922168672365143,0.99817973,0.9986124,4,True,True,0.0014697919084087569,False,True
marianeuberg1,3,0.8731028708104257,0.032001682508212795,0.99747413,0.99807453,4,True,True,0.0010167768174885613,False,True
sternandreas404,7,0.8730575893502666,0.032677469524175766,0.9974138,0.99802864,4,True,True,0.0002092336996125569,False,True
margarethkurz,8,0.8704944145902118,0.09484497079999035,0.9904843,0.9950126,4,True,True,0.00013114919481960682,False,True
rogovilia,1,0.8704586691601435,0.0707534905823086,0.99375623,0.99534357,0,True,True,0.0,False,True
sergeev_tolik,2,0.8682131548848702,0.10030846190802166,0.99066895,0.99304116,0,True,True,0.0,False,True
verrellportier,1,0.8675357407482807,0.1800068454041147,0.9759599,0.9976581,2,True,True,0.0,False,True
romanagafonovv,2,0.8672369059495395,0.11265800936961168,0.9893267,0.99204016,0,True,True,0.0,False,True
israel_wills,1,0.8649258800685697,0.14354387918794226,0.98581165,0.98977673,6,True,True,0.0,False,True
kelvsok,1,0.8629489459781325,0.16729065242871652,0.98302734,0.9877706,6,True,True,0.0,False,True
klara_sauber,8,0.8622224461019962,0.23519014466453522,0.97186875,0.9876824,4,True,True,0.00018469690600838142,False,True
lgbtuni,1,0.8618462265148992,0.17703126607238046,0.9819151,0.98651284,0,True,True,0.0,False,True
jrrbrtt,1,0.8616770484077279,0.18209785346896745,0.9812526,0.9865073,1,True,True,0.0,False,True
williams8kalvin,1,0.8602454963111086,0.19518199257697091,0.97971433,0.98487157,0,True,True,0.0,False,True
t0nyasinclair,1,0.8590778573093544,0.21180102009514584,0.97759545,0.983875,1,True,True,0.0,False,True
danny_turner_1,1,0.859066299686674,0.21193138294449984,0.9775791,0.98386306,1,True,True,0.0,False,True
screamymonkey,9,0.858728822244935,0.3448495075293657,0.9403129,0.9977931,5,True,True,0.0003881392807166277,False,True
policestateme,1,0.8567146653949749,0.23804540063415958,0.97426885,0.98148197,1,True,True,0.0,False,True
whitehousecards,5,0.8563494892400197,0.3616891457929349,0.9418013,0.9942048,3,True,True,0.00012142553579017667,False,True
manuelkrosss,6,0.8551471561895596,0.39812749699220257,0.9272682,0.9974243,4,True,True,0.001183431952662722,False,True
specialaffair,8,0.8530702423340699,0.43220181766837285,0.9234325,0.9935499,5,True,True,0.00016173378618793466,False,True
washingtonline,5,0.8526384713300239,0.43634685752814284,0.9135234,0.998817,5,True,True,8.771698990377447e-06,False,True
lelandgraves_,2,0.8518364527844824,0.328056218590204,0.9604841,0.97949755,1,True,True,0.0,False,True
gracelilstar,1,0.8514520300377626,0.29427828851496446,0.9668641,0.97615206,1,True,True,0.0,False,True
mtthsberger,1,0.8512414737633662,0.41264717528695793,0.9370526,0.9877962,4,True,True,0.0,False,True
handsome_henson,1,0.8489332685130648,0.32028058197505743,0.96331996,0.9736012,1,True,True,0.0,False,True
oh_frida,1,0.8482513896806295,0.31440064562687753,0.96438414,0.9728518,4,True,True,0.0,False,True
mikkyrurk,1,0.848251385606093,0.3144006026312148,0.96438414,0.9728518,4,True,True,0.0,False,True
todaybostonma,5,0.8460297308023695,0.5090827491312844,0.90808046,0.9904541,5,True,True,0.0004368471035137702,False,True
kristyanann,1,0.8458775424805935,0.3511388700757559,0.95902056,0.9705063,1,True,True,0.0,False,True
zubovnik,1,0.8458201155008283,0.3519075465337872,0.9589035,0.9703884,6,True,True,0.0,False,True
sylvielefevrier,2,0.8422682490189727,0.3790910383378373,0.9550679,0.9662321,2,True,True,0.0,False,True
wildharee,1,0.8419694210751913,0.3896291892781305,0.9535209,0.9665487,1,True,True,0.0,False,True
sindyblossom,1,0.8419122186023742,0.39018241447029345,0.95344085,0.96649057,1,True,True,0.0,False,True
williams_diana_,1,0.8418782701191958,0.3907234718899078,0.9533523,0.96638817,6,True,True,0.0,False,True
jsncarey,3,0.8414990803867113,0.3941892232744324,0.95285964,0.96607196,1,True,True,0.0,False,True
angelabach991,5,0.8411795273523239,0.5774588805350536,0.87029946,0.9978478,4,True,True,0.0010112152969295827,False,True
heyitsglor,1,0.8406326545261451,0.5819670187664577,0.88397473,0.9913662,6,True,True,0.0,False,True
lilylilyhasse,4,0.8385831620107638,0.5156115545233383,0.92609,0.97233045,4,True,True,0.0,False,True
yattvrussia,1,0.8373120327833762,0.4272459226054474,0.94818366,0.9613567,0,True,True,0.0,False,True
schultei2,1,0.8338574277295265,0.4487619411286273,0.94522095,0.9582422,4,True,True,0.0,False,True
angela_lattke,1,0.8338574264198542,0.4487618121416391,0.945221,0.95824224,4,True,True,0.0,False,True
stlouisonline,5,0.8312310570723263,0.6834646439649545,0.8363444,0.9954503,5,True,True,0.0009090909090909091,False,True
dailysandiego,5,0.8310431197023718,0.7013609006397622,0.84063447,0.9900376,5,True,True,0.0002144607843137255,False,True
todaymiami,5,0.8307350791510544,0.6896062734142536,0.8371671,0.9943323,5,True,True,0.0,False,True
globalfoe,1,0.830721053032903,0.485622380748775,0.9392144,0.95432013,2,True,True,0.0,False,True
portmela,1,0.8297327149193734,0.5041860161002557,0.93630284,0.95415586,1,True,True,0.0,False,True
oaklandonline,4,0.8294381893774698,0.6948167028004559,0.8231151,0.99786377,5,True,True,0.0008733624454148472,False,True
oooonlyone,1,0.8274503676220775,0.5050412428273338,0.93668693,0.9517405,4,True,True,0.0,False,True
horrorki,1,0.8274503507418558,0.5050410708446829,0.936687,0.95174056,4,True,True,0.0,False,True
lila_gorila,1,0.8274503338616341,0.5050409848533575,0.936687,0.9517405,4,True,True,0.0,False,True
zistti,1,0.8274502696226029,0.5050417587752863,0.9366869,0.95174056,4,True,True,0.0,False,True
ostrovofficer,1,0.8274501168634742,0.5050458003675816,0.9366862,0.95174056,4,True,True,0.0,False,True
andreaseulitz,1,0.8274172838107567,0.5053052361964082,0.9366466,0.9517057,4,True,True,0.0,False,True
klausfinker,1,0.8274022059049457,0.5054362869763657,0.9366264,0.95169026,4,True,True,0.0,False,True
politopros,1,0.8266247694846243,0.5093955855732037,0.9361574,0.9512029,3,True,True,0.0,False,True
arkadii_trofim,2,0.8264854389604349,0.7279841589586267,0.8438205,0.98574406,0,True,True,0.0,False,True
beverlybalsom,1,0.8227137764042709,0.5556246941077776,0.9282235,0.94605887,2,True,True,0.0,False,True
erdollum666,2,0.8225276698067319,0.5470290012176544,0.9301363,0.94674295,4,True,True,0.0,False,True
fishalexanderr,3,0.8223294307210213,0.7545494591241504,0.7950791,0.9977784,4,True,True,0.0018670649738610904,False,True
joachimbuchwitz,1,0.8206373467401136,0.7574468508432362,0.86217785,0.96897405,4,True,True,0.0,False,True
leecory,1,0.8202651463770022,0.5786546759065028,0.9247462,0.9438782,0,True,True,0.0,False,True
jon_underwood_,1,0.8196174609474838,0.5933399304983762,0.92206824,0.94391185,1,True,True,0.0,False,True
jaedenmassey,1,0.8195272115408443,0.5941140674055725,0.9219416,0.9438205,1,True,True,0.0,False,True
jorda_morgan,1,0.8186937574355397,0.5790964993365693,0.9250288,0.94285244,4,True,True,0.0,False,True
moda_barina,1,0.818693735083798,0.5790968003062082,0.92502874,0.94285244,4,True,True,0.0,False,True
lmarinays,1,0.818693729233928,0.5790967143148829,0.92502874,0.9428524,4,True,True,0.0,False,True
gorelkinnn,1,0.8186937280988786,0.5790967143148829,0.92502874,0.9428524,4,True,True,0.0,False,True
mwiqcen,1,0.8186937272839714,0.5790967143148829,0.92502874,0.9428524,4,True,True,0.0,False,True
shikarnoel,1,0.8186937187565491,0.5790966283235575,0.92502874,0.9428524,4,True,True,0.0,False,True
valeyina_dm,2,0.8179731535553297,0.7990182392358179,0.787482,0.99413276,0,True,True,0.007352941176470588,False,True
rusnevrotik,1,0.8170761656876429,0.8123567836801102,0.82905793,0.9768931,4,True,True,0.0,False,True
clydedaws0n,1,0.8160720820305869,0.8311536275061608,0.8019902,0.9845848,1,True,True,0.0,False,True
berkhoff85,4,0.8155730025695378,0.8308800890999636,0.810044,0.98183805,4,True,True,0.0,False,True
coldwar20_ru,3,0.8142102287530011,0.6126885806597202,0.919773,0.93868035,3,True,True,0.0,False,True
glennharper_,2,0.814172819344094,0.8403100698294222,0.78317267,0.9893313,1,True,True,0.0,False,True
missourinewsus,4,0.8127379588146094,0.7996075377889994,0.86634374,0.9264179,0,True,True,0.0003276003276003276,False,True
todaycincinnati,4,0.8123356173502789,0.8495355631870051,0.771361,0.9912281,5,True,True,7.128599942971201e-05,False,True
vasilichvasili,2,0.812320626071596,0.8364770064983174,0.7616437,0.9953479,0,True,True,0.0,False,True
kansasdailynews,5,0.8105803594624932,0.9036284924409553,0.77315855,0.9696697,5,True,True,0.00016569625987885296,False,True
christinapool61,4,0.8101389869455203,0.8543004285204846,0.83739644,0.9626584,4,True,True,0.005379746835443038,False,True
batonrougevoice,5,0.8096161340290564,0.9065057621898901,0.76841784,0.9784852,5,True,True,0.00011640765962400326,False,True
reachitdoit,1,0.8090009056613781,0.8637849277502667,0.83637476,0.9612462,6,True,True,0.0,False,True
msm0re,1,0.8069044693378759,0.9000228761656166,0.80068976,0.97270274,4,True,True,0.0,False,True
erdollum,5,0.8068702384908174,0.9326282070294422,0.79910815,0.9615258,4,True,True,0.005263157894736842,False,True
gvardeykalena,2,0.8043336227856344,0.9570984145421552,0.79119366,0.93673813,0,True,True,0.0,False,True
tebepizdec,1,0.8043256245437078,0.7097080785993886,0.9028311,0.9275345,0,True,True,0.0,False,True
inst_vets,2,0.8038536147299514,0.9312621488336389,0.77157277,0.97800994,0,True,True,0.0,False,True
richmondvoice,4,0.8037265603052219,0.8964949100571423,0.7297426,0.9940895,5,True,True,0.00041322314049586776,False,True
georevieweurope,1,0.8034560063970275,0.7275375200143359,0.8993271,0.9275448,1,True,True,0.0,False,True
gwen_garland,1,0.8033322524861433,0.7288918833898805,0.8990626,0.92727226,6,True,True,0.0,False,True
kirstenladaniel,1,0.8033246078994125,0.7289367708617558,0.8990555,0.9272633,6,True,True,0.0,False,True
iris0_o,1,0.8032507428433746,0.7291802982953774,0.8990392,0.92733634,1,True,True,0.0,False,True
briys_valera,1,0.8019436915852898,0.9521549452257546,0.7741305,0.9728691,1,True,True,0.0,False,True
sanantotopnews,5,0.8002536360909289,0.9045387966119722,0.709875,0.99647015,5,True,True,0.0,False,True
roscoe_riddle,1,0.7985643715946935,0.7632888435190694,0.89269894,0.92094445,5,True,True,0.0,False,True
stepansazono,2,0.7984508555739697,0.9713496709145764,0.7704562,0.9711515,0,True,True,0.0,False,True
newspeakdaily,5,0.7952982884019887,1.0312286124915042,0.73751444,0.94518024,5,True,True,3.569822151460414e-05,False,True
phoenixdailynew,5,0.7938996819684515,1.0292524458417651,0.71482193,0.96201974,5,True,True,0.0002287867572841666,False,True
srahse,1,0.7925321020593401,1.0139637901193395,0.78397316,0.95614105,1,True,True,0.0,False,True
gibbs_jeremy_,1,0.7922551198571455,1.0062906121684443,0.71743095,0.9804967,1,True,True,0.0,False,True
margosavazh,3,0.7912144813453779,0.9049097631898833,0.85561055,0.9326103,3,True,True,0.0,False,True
albertmorenmore,1,0.7912021983647719,1.0286043292219886,0.73377705,0.9722146,1,True,True,0.0,False,True
riafanru,1,0.7903912567708176,0.9910558730070641,0.81048244,0.94738996,3,True,True,0.0,False,True
instotus,2,0.7899661191870287,1.031698813058963,0.8093497,0.9148558,6,True,True,0.0,False,True
ttsvetkov,1,0.789298252798699,0.9717442851069811,0.67324084,0.99360675,0,True,True,0.0,False,True
lukas_rosler,3,0.7861441634020083,1.028163279713851,0.81608236,0.9016589,4,True,True,0.047619047619047616,False,True
