topic_id,word,weight,rank
0,hillary,0.020297,1
0,hillary_clinton,0.012766,2
0,clinton,0.012075,3
0,donald_trump,0.010944,4
0,obama,0.010737,5
0,vote,0.006406,6
0,people,0.005598,7
0,american,0.005306,8
0,america,0.004582,9
0,say,0.004565,10
0,medium,0.004362,11
0,maga,0.004011,12
0,debate,0.003820,13
0,breaking,0.003800,14
0,via,0.003741,15
0,want,0.003727,16
0,election,0.003639,17
0,watch,0.003615,18
0,president,0.003590,19
0,black,0.003551,20
1,people,0.007155,1
1,get,0.006143,2
1,one,0.005712,3
1,like,0.005473,4
1,dont,0.005471,5
1,via,0.004420,6
1,make,0.003842,7
1,say,0.003746,8
1,new,0.003660,9
1,know,0.003656,10
1,time,0.003577,11
1,love,0.003401,12
1,want,0.003359,13
1,day,0.003334,14
1,need,0.003289,15
1,life,0.003170,16
1,thing,0.003035,17
1,right,0.002921,18
1,think,0.002890,19
1,man,0.002774,20
2,get,0.007099,1
2,new,0.005798,2
2,love,0.004351,3
2,one,0.004173,4
2,people,0.003962,5
2,day,0.003694,6
2,like,0.003572,7
2,music,0.003487,8
2,playing,0.003131,9
2,got,0.003016,10
2,need,0.002943,11
2,dont,0.002935,12
2,black,0.002859,13
2,nowplaying,0.002827,14
2,time,0.002825,15
2,via,0.002821,16
2,alternativeacronyminterpretations,0.002806,17
2,make,0.002761,18
2,thingsyoucantignore,0.002664,19
2,inwords,0.002612,20
3,rejecteddebatetopics,0.023211,1
3,betteralternativetodebates,0.016976,2
3,makemehateyouinonephrase,0.016601,3
3,ruinadinnerinonephrase,0.015649,4
3,thingsnottaughtatschool,0.009180,5
3,imtoooldfor,0.008561,6
3,клинтон,0.007414,7
3,addamovieruinamovie,0.006385,8
3,трамп,0.005766,9
3,meangirlsrules,0.005450,10
3,трампа,0.005183,11
3,electionday,0.005138,12
3,unlikelythingsheardatwalmart,0.004985,13
3,mybedroominwords,0.004956,14
3,like,0.004947,15
3,millennialsportsteams,0.004620,16
3,что,0.004301,17
3,idontneedacostumebecause,0.004005,18
3,dont,0.003965,19
3,famouscreatures,0.003921,20
4,merkelmussbleiben,0.016813,1
4,die,0.013891,2
4,der,0.010258,3
4,pjnet,0.010159,4
4,und,0.010061,5
4,tcot,0.006337,6
4,da,0.005765,7
4,von,0.005571,8
4,ccot,0.005557,9
4,ist,0.005267,10
4,merkel,0.004793,11
4,via,0.004565,12
4,mit,0.004500,13
4,ein,0.004252,14
4,für,0.003807,15
4,den,0.003708,16
4,tcot_ccot,0.003635,17
4,cruzcrew_pjnet,0.003368,18
4,sie,0.003317,19
4,nicht,0.003248,20
5,politics,0.034009,1
5,news,0.021032,2
5,clinton,0.015816,3
5,obama,0.012143,4
5,say,0.011055,5
5,election,0.007645,6
5,donald_trump,0.007536,7
5,topvideo,0.006550,8
5,world_news,0.006143,9
5,topnews,0.004948,10
5,campaign,0.004717,11
5,hillary_clinton,0.003695,12
5,new,0.003670,13
5,survivalguidetothanksgiving,0.003667,14
5,gop,0.003662,15
5,todolistbeforechristmas,0.003055,16
5,call,0.002932,17
5,day,0.002767,18
5,dnc,0.002713,19
5,local,0.002622,20
6,people,0.009370,1
6,obama,0.008654,2
6,hillary,0.006761,3
6,america,0.006590,4
6,muslim,0.005887,5
6,president,0.004861,6
6,country,0.004797,7
6,liberal,0.004748,8
6,dont,0.004608,9
6,one,0.004595,10
6,say,0.004558,11
6,want,0.004288,12
6,right,0.004284,13
6,american,0.004237,14
6,need,0.004046,15
6,think,0.003790,16
6,like,0.003407,17
6,democrat,0.003307,18
6,tcot,0.003258,19
6,thats,0.003131,20
7,trumpforpresident,0.017276,1
7,ihavearighttoknow,0.014648,2
7,thingsmoretrustedthanhillary,0.010335,3
7,reasonstogetdivorced,0.007988,4
7,tofeelbetteri,0.007916,5
7,toavoidworki,0.006917,6
7,valentinesdayinwords,0.006591,7
7,trumpbecause,0.006558,8
7,fishtv,0.006486,9
7,lostinwords,0.005594,10
7,mybestfriendisntallowed,0.005233,11
7,howtoloseyourjob,0.005194,12
7,get,0.004545,13
7,hillaryforprison_trumpforpresident,0.004339,14
7,would,0.004114,15
7,like,0.003980,16
7,people,0.003920,17
7,ifihadabodydouble,0.003842,18
7,myemmynominationwouldbe,0.003830,19
7,maketvshowscanadian,0.003665,20
