user_id,post_count,gini_coefficient,shannon_entropy,top1_ratio,top2_ratio,dominant_topic,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
ninonderrien,1,0.873743,0.022736,0.998274,0.998703,2,0.000429,0.000375,0.998274,0.000086,0.000101,0.000276,0.000371,0.000087
andrebeauleger,1,0.873702,0.023379,0.998219,0.998661,2,0.000443,0.000387,0.998219,0.000089,0.000105,0.000285,0.000383,0.000090
karolineauge,1,0.873634,0.024473,0.998125,0.998591,2,0.000466,0.000408,0.998125,0.000093,0.000110,0.000300,0.000403,0.000095
peterkistner,3,0.873633,0.023922,0.998180,0.998612,4,0.000433,0.000379,0.000181,0.000087,0.998180,0.000279,0.000374,0.000088
marianeuberg1,3,0.873103,0.032002,0.997474,0.998075,4,0.000600,0.000526,0.000251,0.000120,0.997474,0.000387,0.000519,0.000122
sternandreas404,7,0.873058,0.032677,0.997414,0.998029,4,0.000615,0.000538,0.000257,0.000123,0.997414,0.000396,0.000532,0.000125
margarethkurz,8,0.870494,0.094845,0.990484,0.995013,4,0.004528,0.000543,0.000260,0.000124,0.990484,0.003399,0.000536,0.000126
rogovilia,1,0.870459,0.070753,0.993756,0.995344,0,0.993756,0.001587,0.000759,0.000363,0.000429,0.001168,0.001568,0.000370
sergeev_tolik,2,0.868213,0.100308,0.990669,0.993041,0,0.990669,0.002372,0.001135,0.000542,0.000641,0.001745,0.002343,0.000553
verrellportier,1,0.867536,0.180007,0.975960,0.997658,2,0.000741,0.000649,0.975960,0.000148,0.000175,0.000477,0.021698,0.000151
romanagafonovv,2,0.867237,0.112658,0.989327,0.992040,0,0.989327,0.002713,0.001298,0.000620,0.000733,0.001996,0.002681,0.000632
israel_wills,1,0.864926,0.143544,0.985812,0.989777,6,0.003965,0.003471,0.001660,0.000793,0.000938,0.002553,0.985812,0.000808
kelvsok,1,0.862949,0.167291,0.983027,0.987771,6,0.004743,0.004152,0.001986,0.000949,0.001122,0.003055,0.983027,0.000967
klara_sauber,8,0.862222,0.235190,0.971869,0.987682,4,0.001436,0.015814,0.006968,0.000287,0.971869,0.000925,0.002409,0.000293
lgbtuni,1,0.861846,0.177031,0.981915,0.986513,0,0.981915,0.004598,0.002199,0.001051,0.001242,0.003383,0.004542,0.001071
jrrbrtt,1,0.861677,0.182098,0.981253,0.986507,1,0.005255,0.981253,0.002200,0.001051,0.001243,0.003384,0.004544,0.001071
williams8kalvin,1,0.860245,0.195182,0.979714,0.984872,0,0.979714,0.005157,0.002467,0.001178,0.001393,0.003794,0.005095,0.001201
t0nyasinclair,1,0.859078,0.211801,0.977595,0.983875,1,0.006280,0.977595,0.002629,0.001256,0.001485,0.004044,0.005430,0.001280
danny_turner_1,1,0.859066,0.211931,0.977579,0.983863,1,0.006284,0.977579,0.002631,0.001257,0.001486,0.004047,0.005435,0.001281
screamymonkey,9,0.858729,0.344850,0.940313,0.997793,5,0.000755,0.057480,0.000316,0.000151,0.000179,0.940313,0.000653,0.000154
policestateme,1,0.856715,0.238045,0.974269,0.981482,1,0.007213,0.974269,0.003019,0.001442,0.001705,0.004644,0.006236,0.001470
whitehousecards,5,0.856349,0.361689,0.941801,0.994205,3,0.001435,0.001256,0.000601,0.941801,0.000339,0.000924,0.001241,0.052404
manuelkrosss,6,0.855147,0.398127,0.927268,0.997424,4,0.000723,0.000633,0.000303,0.000145,0.927268,0.070156,0.000625,0.000147
specialaffair,8,0.853070,0.432202,0.923433,0.993550,5,0.004268,0.000802,0.070117,0.000183,0.000217,0.923433,0.000793,0.000187
washingtonline,5,0.852638,0.436347,0.913523,0.998817,5,0.085294,0.000370,0.000177,0.000085,0.000100,0.913523,0.000365,0.000086
lelandgraves_,2,0.851836,0.328056,0.960484,0.979498,1,0.006095,0.960484,0.002552,0.001219,0.001441,0.003925,0.005270,0.019013
gracelilstar,1,0.851452,0.294278,0.966864,0.976152,1,0.009288,0.966864,0.003888,0.001858,0.002196,0.005981,0.008031,0.001893
mtthsberger,1,0.851241,0.412647,0.937053,0.987796,4,0.050744,0.003331,0.001593,0.000761,0.937053,0.002451,0.003291,0.000776
handsome_henson,1,0.848933,0.320281,0.963320,0.973601,1,0.010281,0.963320,0.004304,0.002056,0.002431,0.006621,0.008890,0.002096
oh_frida,1,0.848251,0.314401,0.964384,0.972852,4,0.008468,0.007411,0.003545,0.001693,0.964384,0.005452,0.007321,0.001726
mikkyrurk,1,0.848251,0.314401,0.964384,0.972852,4,0.008468,0.007411,0.003545,0.001693,0.964384,0.005452,0.007321,0.001726
todaybostonma,5,0.846030,0.509083,0.908080,0.990454,5,0.082374,0.002985,0.001428,0.000682,0.000806,0.908080,0.002949,0.000695
kristyanann,1,0.845878,0.351139,0.959021,0.970506,1,0.011486,0.959021,0.004809,0.002297,0.002716,0.007397,0.009932,0.002342
zubovnik,1,0.845820,0.351908,0.958903,0.970388,6,0.011485,0.010053,0.004808,0.002297,0.002716,0.007396,0.958903,0.002341
sylvielefevrier,2,0.842268,0.379091,0.955068,0.966232,2,0.011164,0.009773,0.955068,0.002233,0.002640,0.007190,0.009655,0.002276
wildharee,1,0.841969,0.389629,0.953521,0.966549,1,0.013028,0.953521,0.005454,0.002606,0.003081,0.008390,0.011265,0.002656
sindyblossom,1,0.841912,0.390182,0.953441,0.966491,1,0.013050,0.953441,0.005464,0.002610,0.003086,0.008404,0.011285,0.002661
williams_diana_,1,0.841878,0.390723,0.953352,0.966388,6,0.013036,0.011411,0.005458,0.002607,0.003083,0.008395,0.953352,0.002658
jsncarey,3,0.841499,0.394189,0.952860,0.966072,1,0.013212,0.952860,0.005532,0.002643,0.003125,0.008509,0.011426,0.002694
angelabach991,5,0.841180,0.577459,0.870299,0.997848,4,0.000604,0.000529,0.000253,0.000121,0.870299,0.127548,0.000522,0.000123
heyitsglor,1,0.840633,0.581967,0.883975,0.991366,6,0.002733,0.002392,0.107391,0.000547,0.000646,0.001760,0.883975,0.000557
lilylilyhasse,4,0.838583,0.515612,0.926090,0.972330,4,0.007766,0.006798,0.003252,0.001553,0.926090,0.046240,0.006716,0.001583
