topic_id,word,weight,rank
0,russia,0.08344786,1
0,ukraine,0.027411155,2
0,war,0.01609966,3
0,china,0.015026974,4
0,nato,0.00851211,5
0,putin,0.008025761,6
0,russian,0.007515018,7
0,country,0.007204557,8
0,would,0.0069972626,9
0,like,0.006849915,10
0,amp,0.0060399994,11
0,want,0.0058268085,12
0,dont,0.0049776365,13
0,people,0.004965456,14
0,one,0.004757689,15
0,world,0.0046271,16
0,year,0.004614286,17
0,get,0.0041177757,18
0,think,0.0039734547,19
0,state,0.0038932222,20
1,mfa_russia,0.023698665,1
1,russia,0.021642257,2
1,russianembassy,0.0142967645,3
1,bbcworld,0.009331479,4
1,che,0.009038762,5
1,skynews,0.008247805,6
1,kremlinrussia_e,0.0077056205,7
1,non,0.007005282,8
1,rusembusa,0.006878385,9
1,ftworldnews,0.0067232135,10
1,putin,0.006333232,11
1,embassyofrussia,0.0061534853,12
1,guardianworld,0.0052906103,13
1,love,0.005253788,14
1,per,0.005223289,15
1,belarus,0.0052090767,16
1,pmsimferopol,0.005198993,17
1,come,0.0047305464,18
1,via,0.004650133,19
1,mauriceschleepe,0.004527931,20
2,russia,0.043664176,1
2,ukraine,0.02462013,2
2,support,0.015716437,3
2,russian,0.010648836,4
2,people,0.00959258,5
2,ukrainian,0.009133456,6
2,dont,0.0072611016,7
2,crimea,0.0061572143,8
2,country,0.005992768,9
2,repmtg,0.0057467,10
2,donbas,0.005419855,11
2,nazi,0.0048668482,12
2,invaded,0.004429955,13
2,child,0.004345271,14
2,right,0.0042380663,15
2,peace,0.0038128076,16
2,dc_draino,0.0037850712,17
2,yes,0.0037707982,18
2,elonmusk,0.0036718412,19
2,war,0.0036409849,20
3,rússia,0.035493292,1
3,que,0.031226913,2
3,não,0.018634815,3
3,ucrânia,0.009533226,4
3,guerra,0.008916422,5
3,uma,0.0077701746,6
3,pra,0.0069464874,7
3,para,0.0069356477,8
3,tem,0.006735493,9
3,como,0.0063184416,10
3,por,0.00627878,11
3,china,0.00604903,12
3,mais,0.0058389604,13
3,ma,0.004863196,14
3,medvedevrussiae,0.004681273,15
3,osce,0.0046098465,16
3,ambrusfrance,0.0045696585,17
3,foi,0.0045331763,18
3,rusmission_eu,0.004499322,19
3,rusbotschaft,0.004499322,20
4,russia,0.027388362,1
4,trump,0.016214665,2
4,lie,0.0118415505,3
4,collusion,0.009677856,4
4,hoax,0.008434139,5
4,cnn,0.008213739,6
4,covid,0.0077215945,7
4,medium,0.0068970458,8
4,fake,0.0063910084,9
4,lab,0.0061437064,10
4,news,0.0058960654,11
4,election,0.005679085,12
4,hunter,0.0049524833,13
4,fox,0.00492382,14
4,laptop,0.0049214805,15
4,like,0.0044454043,16
4,msnbc,0.0040100333,17
4,krassenstein,0.003898636,18
4,democrat,0.0032653941,19
4,kremlin,0.0031984607,20
